item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
178817,12.428571428571429,21,Medium Mover,36,25,42,39,Low Priority Item
P2001003,13.0,21,Medium Mover,475,21,576,75,Low Priority Item
P5001200,14.80952380952381,21,Medium Mover,121,21,88,22,Medium Priority Item
P6010369,17.047619047619047,21,Medium Mover,1004,21,643,75,Low Priority Item
P75148,17.571428571428573,21,Medium Mover,5400,24,4289,33,Low Priority Item
SM2252,18.19047619047619,21,Medium Mover,33,21,31,27,Low Priority Item
P6010444,23.333333333333332,21,Medium Mover,53,24,53,32,Medium Priority Item
P2001638,23.666666666666668,21,Medium Mover,250,22,193,32,Low Priority Item
P6010882,25.428571428571427,21,Medium Mover,212,21,125,46,Low Priority Item
185118,27.952380952380953,21,Medium Mover,52,22,53,36,Medium Priority Item
P6010501,29.38095238095238,21,Medium Mover,84,23,64,28,Medium Priority Item
P6013452,32.904761904761905,21,Slow Mover,75,36,43,27,Low Priority Item
107024,34.523809523809526,21,Slow Mover,1032,21,698,25,Low Priority Item
P2000682,35.42857142857143,21,Slow Mover,79,23,92,47,Low Priority Item
117401LF,39.61904761904762,21,Slow Mover,13728,21,6587,54,Low Priority Item
V1001188,40.95238095238095,21,Slow Mover,76,23,83,45,Low Priority Item
P5001647,42.23809523809524,21,Slow Mover,139,21,117,49,Low Priority Item
V1000945,51.095238095238095,21,Slow Mover,238,21,241,40,Low Priority Item
P6010322,75.33333333333333,21,Slow Mover,156,21,97,31,Low Priority Item
7C0449080,85.0952380952381,21,Slow Mover,146,22,112,31,Low Priority Item
209047,454.0,21,Leftovers,3131,21,2985,23,Low Priority Item
175827,8.3,20,Medium Mover,106,20,110,44,Low Priority Item
CM1102,8.75,20,Medium Mover,27,23,31,26,Low Priority Item
178508,10.2,20,Medium Mover,100,20,124,72,Low Priority Item
178691,10.4,20,Medium Mover,36,21,44,30,Low Priority Item
P5002624,10.85,20,Medium Mover,36,26,37,27,Low Priority Item
175015,11.9,20,Medium Mover,61,21,64,40,Medium Priority Item
52-461-395-001,14.3,20,Medium Mover,829,20,57,25,Medium Priority Item
P6010363,14.45,20,Medium Mover,276,21,167,56,Low Priority Item
SM0729,16.3,20,Medium Mover,42,22,59,39,Medium Priority Item
P2000919,16.6,20,Medium Mover,504,23,501,72,Low Priority Item
AC1871,17.25,20,Medium Mover,84,21,85,58,Medium Priority Item
178657,24.3,20,Medium Mover,37,20,34,25,Low Priority Item
P5001140,26.1,20,Medium Mover,190,23,156,59,Low Priority Item
110190LF,26.75,20,Medium Mover,13104,28,10260,31,Low Priority Item
P5001491,27.1,20,Medium Mover,37,21,33,22,Low Priority Item
P6010880,27.25,20,Medium Mover,203,22,126,38,Low Priority Item
903568,28.0,20,Medium Mover,312,21,318,35,Low Priority Item
175001,29.45,20,Medium Mover,96,23,99,63,Medium Priority Item
169035,30.35,20,Slow Mover,759,21,489,52,Low Priority Item
230800,36.5,20,Slow Mover,700,20,773,48,Low Priority Item
P2002467,36.65,20,Slow Mover,232,20,185,28,Low Priority Item
P85268,41.8,20,Slow Mover,402,20,267,33,Low Priority Item
231900,42.5,20,Slow Mover,9810,24,11235,85,Low Priority Item
P75612,44.25,20,Slow Mover,7463,20,5859,41,Low Priority Item
M1000232,47.45,20,Slow Mover,4528,22,4672,45,Low Priority Item
P5001781,48.45,20,Slow Mover,22,22,35,33,Low Priority Item
V1000938,51.5,20,Slow Mover,238,20,197,26,Low Priority Item
P5001516,68.3,20,Slow Mover,34,21,44,28,Low Priority Item
52-116-917-520,73.45,20,Slow Mover,62,22,27,17,Low Priority Item
P2000884,74.85,20,Slow Mover,359,21,309,45,Low Priority Item
V1001064,129.95,20,Slow Mover,75,24,51,19,Low Priority Item
P5004621,144.6,20,Slow Mover,35,20,12,7,Low Priority Item
210195,167.05,20,Slow Mover,7898,23,6036,42,Low Priority Item
772611306,178.4,20,Slow Mover,1025,20,453,15,Low Priority Item
P5004629,327.2,20,Leftovers,35,20,14,8,Low Priority Item
P5001019,3.9473684210526314,19,Fast Mover,5250,23,3527,142,Top Priority Item
P2002864,6.947368421052632,19,Fast Mover,728,20,764,127,Top Priority Item
P58576,8.68421052631579,19,Medium Mover,4038,23,3595,113,Low Priority Item
179256,10.578947368421053,19,Medium Mover,33,19,32,21,Low Priority Item
P2002869,11.473684210526315,19,Medium Mover,385,20,471,92,Low Priority Item
SM0005,12.894736842105264,19,Medium Mover,22,19,27,23,Low Priority Item
P6010365,15.052631578947368,19,Medium Mover,1908,20,1598,101,Low Priority Item
P2001578,17.263157894736842,19,Medium Mover,125,19,145,43,Low Priority Item
P5001124,17.36842105263158,19,Medium Mover,185,25,124,30,Low Priority Item
175004,18.31578947368421,19,Medium Mover,91,20,103,54,Low Priority Item
V1000936,19.526315789473685,19,Medium Mover,210,19,234,33,Low Priority Item
V1001091,21.63157894736842,19,Medium Mover,209,19,258,30,Low Priority Item
P6010269,22.36842105263158,19,Medium Mover,588,20,337,40,Low Priority Item
P5003621,23.105263157894736,19,Medium Mover,190,19,149,33,Low Priority Item
180226,23.263157894736842,19,Medium Mover,19,19,16,16,Low Priority Item
P77277,28.736842105263158,19,Medium Mover,4500,22,4000,22,Low Priority Item
P5001527,29.210526315789473,19,Medium Mover,87,19,56,22,Medium Priority Item
P6010499,33.78947368421053,19,Slow Mover,55,21,54,37,Low Priority Item
P5001431,35.578947368421055,19,Slow Mover,71,19,86,38,Low Priority Item
SM0731,38.26315789473684,19,Slow Mover,30,19,33,26,Low Priority Item
08-111-626-501,40.1578947368421,19,Slow Mover,27,26,22,22,Low Priority Item
V50924,45.10526315789474,19,Slow Mover,11164,24,5628,49,Low Priority Item
P6010170,46.0,19,Slow Mover,74,20,56,27,Low Priority Item
P6010909,46.10526315789474,19,Slow Mover,601,19,302,85,Low Priority Item
230180,46.421052631578945,19,Slow Mover,4056,21,3703,88,Low Priority Item
175053,49.26315789473684,19,Slow Mover,34,19,36,24,Low Priority Item
P5003613,49.63157894736842,19,Slow Mover,304,19,161,47,Low Priority Item
V50926,50.78947368421053,19,Slow Mover,3631,19,3715,82,Low Priority Item
R18270,56.89473684210526,19,Slow Mover,716,21,948,49,Low Priority Item
132204,79.94736842105263,19,Slow Mover,1151,19,690,52,Low Priority Item
52-129-475-501,141.21052631578948,19,Slow Mover,22,22,23,22,Low Priority Item
233380,167.8421052631579,19,Slow Mover,7051,37,5021,69,Low Priority Item
P2007024,210.52631578947367,19,Leftovers,6770,19,4346,11,Low Priority Item
P86132,235.1578947368421,19,Leftovers,19,19,15,15,Low Priority Item
P6012749,292.89473684210526,19,Leftovers,36,19,18,10,Low Priority Item
SM2716,7.0,18,Medium Mover,99,22,106,41,Low Priority Item
P2002487,7.222222222222222,18,Medium Mover,325,22,258,72,Low Priority Item
52-460-769-020,9.166666666666666,18,Medium Mover,26,18,23,18,Low Priority Item
P5004272,10.0,18,Medium Mover,72,18,83,44,Medium Priority Item
DM1096,11.11111111111111,18,Medium Mover,83,23,61,33,Medium Priority Item
P2001619,12.666666666666666,18,Medium Mover,1272,19,876,112,Low Priority Item
P2002866,12.666666666666666,18,Medium Mover,739,19,737,85,Low Priority Item
P5001751,13.11111111111111,18,Medium Mover,300,18,293,63,Low Priority Item
179280,13.38888888888889,18,Medium Mover,46,19,53,29,Medium Priority Item
AC0274,14.055555555555555,18,Medium Mover,57,19,41,20,Low Priority Item
P6010267,15.777777777777779,18,Medium Mover,841,19,679,102,Low Priority Item
107020,17.11111111111111,18,Medium Mover,624,18,802,56,Low Priority Item
175056,18.833333333333332,18,Medium Mover,25,18,25,24,Low Priority Item
P6010512,19.61111111111111,18,Medium Mover,52,20,52,33,Medium Priority Item
175049,20.88888888888889,18,Medium Mover,38,18,55,36,Medium Priority Item
179271,23.88888888888889,18,Medium Mover,30,18,33,24,Low Priority Item
P5001245,24.27777777777778,18,Medium Mover,725,18,600,62,Low Priority Item
P5001051,29.833333333333332,18,Medium Mover,192,18,161,68,Low Priority Item
180237,32.22222222222222,18,Slow Mover,21,19,13,13,Low Priority Item
P2002868,33.611111111111114,18,Slow Mover,494,18,471,59,Low Priority Item
P6012741,36.94444444444444,18,Slow Mover,34,19,23,15,Low Priority Item
AC8479,49.166666666666664,18,Slow Mover,32,19,31,25,Low Priority Item
52-460-769-216,50.44444444444444,18,Slow Mover,20,20,14,14,Low Priority Item
226260,51.888888888888886,18,Slow Mover,2002,21,1713,36,Low Priority Item
P6010110,55.27777777777778,18,Slow Mover,94,18,53,19,Low Priority Item
V1000947,72.5,18,Slow Mover,60,18,57,23,Low Priority Item
P5001303,74.05555555555556,18,Slow Mover,47,25,38,25,Low Priority Item
P6011061,74.11111111111111,18,Slow Mover,19,18,6,5,Low Priority Item
P6011034,177.05555555555554,18,Slow Mover,36,18,16,9,Low Priority Item
772310408,198.94444444444446,18,Leftovers,242,18,82,16,Low Priority Item
509101,244.16666666666666,18,Leftovers,2006,18,2547,37,Low Priority Item
235861,330.44444444444446,18,Leftovers,12620,18,288,3,Low Priority Item
P5004619,369.1111111111111,18,Leftovers,31,19,19,12,Low Priority Item
P63245,5.294117647058823,17,Fast Mover,490,17,420,30,Top Priority Item
P85337,6.705882352941177,17,Fast Mover,77,20,126,45,Top Priority Item
188557,10.0,17,Medium Mover,40,18,42,30,Low Priority Item
52-460-769-007,11.176470588235293,17,Medium Mover,18,17,18,18,Low Priority Item
182194,11.470588235294118,17,Medium Mover,24,18,23,19,Low Priority Item
SM2235,12.352941176470589,17,Medium Mover,29,19,27,22,Low Priority Item
178466,13.647058823529411,17,Medium Mover,70,18,66,43,Medium Priority Item
DM1045,15.235294117647058,17,Medium Mover,77,20,45,34,Low Priority Item
P41624,15.588235294117647,17,Medium Mover,510,19,377,67,Low Priority Item
52-427-285-501,17.941176470588236,17,Medium Mover,1075,24,788,132,Low Priority Item
178476,18.058823529411764,17,Medium Mover,44,17,39,29,Low Priority Item
P5001434,20.705882352941178,17,Medium Mover,82,19,82,37,Medium Priority Item
P6010098,28.647058823529413,17,Medium Mover,168,17,122,40,Low Priority Item
52-460-769-016,29.235294117647058,17,Medium Mover,21,20,17,17,Low Priority Item
P6010253,29.941176470588236,17,Medium Mover,1486,17,1385,60,Low Priority Item
AC0732,32.23529411764706,17,Slow Mover,251,19,295,63,Low Priority Item
SM0733,36.76470588235294,17,Slow Mover,38,19,35,22,Low Priority Item
DP0208,37.23529411764706,17,Slow Mover,3935,19,2323,127,Low Priority Item
P77106,38.05882352941177,17,Slow Mover,10416,21,7904,23,Low Priority Item
P6013042,39.35294117647059,17,Slow Mover,130,29,76,30,Low Priority Item
P2003474,41.94117647058823,17,Slow Mover,25,18,23,20,Low Priority Item
115115,43.529411764705884,17,Slow Mover,612,17,445,31,Low Priority Item
P00560,48.35294117647059,17,Slow Mover,1982,34,778,14,Low Priority Item
175859,50.1764705882353,17,Slow Mover,33,17,37,25,Low Priority Item
513049,50.94117647058823,17,Slow Mover,2011,18,4729,35,Low Priority Item
V1001001,52.294117647058826,17,Slow Mover,200,18,209,23,Low Priority Item
P7000109,56.470588235294116,17,Slow Mover,76,20,63,26,Low Priority Item
SM2228,58.94117647058823,17,Slow Mover,17,17,17,17,Low Priority Item
DT0769,59.705882352941174,17,Slow Mover,140,22,74,19,Low Priority Item
FP0005,61.705882352941174,17,Slow Mover,18,17,10,10,Low Priority Item
AC0480,62.94117647058823,17,Slow Mover,152,17,78,29,Low Priority Item
P5002630,69.17647058823529,17,Slow Mover,35,17,35,21,Low Priority Item
52-129-440-521,85.88235294117646,17,Slow Mover,38,17,18,14,Low Priority Item
V50811,114.23529411764706,17,Slow Mover,396,17,432,19,Low Priority Item
245122,165.47058823529412,17,Slow Mover,10700,17,4040,13,Low Priority Item
P2002496,2.625,16,Fast Mover,344,23,374,59,Top Priority Item
SM2273,7.125,16,Medium Mover,16,16,13,13,Low Priority Item
P61129,9.375,16,Medium Mover,3120,37,2230,37,Low Priority Item
CM1100,9.75,16,Medium Mover,20,16,20,17,Low Priority Item
178483,12.5625,16,Medium Mover,40,18,30,16,Low Priority Item
P70939,12.9375,16,Medium Mover,82,16,116,48,Low Priority Item
P5004347,15.6875,16,Medium Mover,1501,17,1533,68,Low Priority Item
P6015135,17.5,16,Medium Mover,32,16,36,25,Low Priority Item
188556,18.0625,16,Medium Mover,33,16,34,21,Low Priority Item
F88000,18.8125,16,Medium Mover,924,19,692,15,Low Priority Item
903588,20.875,16,Medium Mover,349,17,330,21,Low Priority Item
P5001016,21.0,16,Medium Mover,2309,20,1514,106,Low Priority Item
DM1029,21.8125,16,Medium Mover,75,17,60,37,Medium Priority Item
P5002176,22.6875,16,Medium Mover,187,19,133,21,Low Priority Item
P2003516,24.125,16,Medium Mover,50,16,39,20,Low Priority Item
P2001337,24.6875,16,Medium Mover,5425,17,3669,52,Low Priority Item
P2002867,24.9375,16,Medium Mover,125,17,135,52,Low Priority Item
117403LF,25.625,16,Medium Mover,4608,16,3727,39,Low Priority Item
115114,26.625,16,Medium Mover,648,17,714,59,Low Priority Item
175033,27.125,16,Medium Mover,17,17,16,16,Low Priority Item
AC6142,29.375,16,Medium Mover,30,17,29,21,Low Priority Item
P2002418,29.375,16,Medium Mover,45,16,72,31,Medium Priority Item
103418LF,30.875,16,Slow Mover,2704,16,1989,16,Low Priority Item
110194LF,35.125,16,Slow Mover,730,20,434,18,Low Priority Item
P6010520,35.6875,16,Slow Mover,32,16,31,14,Low Priority Item
P6010889,36.1875,16,Slow Mover,432,16,182,21,Low Priority Item
226280,38.5625,16,Slow Mover,1656,16,2019,51,Low Priority Item
M28206,38.8125,16,Slow Mover,27776,16,15512,21,Low Priority Item
P85265,39.6875,16,Slow Mover,300,16,300,19,Low Priority Item
175022,39.8125,16,Slow Mover,43,16,46,40,Low Priority Item
P6015059,41.875,16,Slow Mover,43,16,45,25,Low Priority Item
G96838,44.8125,16,Slow Mover,9450,32,9776,57,Low Priority Item
513061,44.875,16,Slow Mover,633,16,948,43,Low Priority Item
104462LF,45.9375,16,Slow Mover,46,17,61,30,Low Priority Item
P5003617,46.3125,16,Slow Mover,256,16,132,32,Low Priority Item
SM0002,47.875,16,Slow Mover,26,17,22,16,Low Priority Item
SM0728,52.8125,16,Slow Mover,30,16,35,27,Low Priority Item
226740,56.5,16,Slow Mover,2360,17,2158,73,Low Priority Item
V1000981,60.375,16,Slow Mover,285,16,249,24,Low Priority Item
P6010350,60.5,16,Slow Mover,88,16,44,23,Low Priority Item
P5001188,63.3125,16,Slow Mover,102,16,51,11,Low Priority Item
G92848,63.8125,16,Slow Mover,3416,16,2040,15,Low Priority Item
245105,69.375,16,Slow Mover,991,16,1347,33,Low Priority Item
FP0004,77.75,16,Slow Mover,16,16,8,8,Low Priority Item
117402LF,90.1875,16,Slow Mover,4608,16,3090,39,Low Priority Item
P6019505,93.8125,16,Slow Mover,64,17,56,23,Low Priority Item
P6012732,107.5625,16,Slow Mover,30,16,22,17,Low Priority Item
V1001082,110.125,16,Slow Mover,26,16,27,24,Low Priority Item
245123,117.625,16,Slow Mover,877,16,1063,49,Low Priority Item
572651076,343.3125,16,Leftovers,115,17,61,14,Low Priority Item
P86130,3.6666666666666665,15,Fast Mover,15,15,18,18,Top Priority Item
P58493,6.2,15,Fast Mover,1787,17,2454,60,Top Priority Item
AC6503,7.066666666666666,15,Medium Mover,82,19,110,49,Low Priority Item
175846,8.066666666666666,15,Medium Mover,32,17,34,25,Low Priority Item
P5001021,8.2,15,Medium Mover,2574,15,3128,148,Low Priority Item
P5001111,9.266666666666667,15,Medium Mover,57,16,69,41,Medium Priority Item
P2002461,9.6,15,Medium Mover,130,18,131,31,Low Priority Item
P2002506,10.866666666666667,15,Medium Mover,367,15,408,57,Low Priority Item
P2002498,11.666666666666666,15,Medium Mover,177,16,212,51,Low Priority Item
179258,13.866666666666667,15,Medium Mover,26,15,25,15,Low Priority Item
V1000995,14.933333333333334,15,Medium Mover,94,18,110,34,Low Priority Item
175854,18.4,15,Medium Mover,52,17,52,35,Medium Priority Item
SM0752,19.6,15,Medium Mover,26,15,24,15,Low Priority Item
175012,22.0,15,Medium Mover,20,17,19,17,Low Priority Item
DM2034,22.333333333333332,15,Medium Mover,46,21,51,29,Medium Priority Item
175830,22.666666666666668,15,Medium Mover,60,15,50,25,Medium Priority Item
DP1603,22.733333333333334,15,Medium Mover,2567,17,1628,104,Low Priority Item
185117,23.333333333333332,15,Medium Mover,60,17,61,32,Medium Priority Item
P81496,23.466666666666665,15,Medium Mover,1507,15,1276,34,Low Priority Item
P6010087,23.533333333333335,15,Medium Mover,404,17,251,34,Low Priority Item
SM0715,24.666666666666668,15,Medium Mover,20,15,19,15,Low Priority Item
104609,29.6,15,Medium Mover,103,17,66,29,Medium Priority Item
V1000302,30.666666666666668,15,Slow Mover,122,15,154,34,Low Priority Item
FM0027,31.0,15,Slow Mover,18,18,15,15,Low Priority Item
175029,31.733333333333334,15,Slow Mover,15,15,15,15,Low Priority Item
179357,33.13333333333333,15,Slow Mover,37,17,36,23,Low Priority Item
SM2257,34.13333333333333,15,Slow Mover,37,17,39,26,Low Priority Item
P6013488,34.53333333333333,15,Slow Mover,27,15,30,21,Low Priority Item
P63242,34.733333333333334,15,Slow Mover,652,18,532,20,Low Priority Item
P6010971,36.733333333333334,15,Slow Mover,854,15,638,52,Low Priority Item
V1000974,39.13333333333333,15,Slow Mover,132,22,122,30,Low Priority Item
P82333,39.666666666666664,15,Slow Mover,147,15,123,21,Low Priority Item
AP0099,41.4,15,Slow Mover,233,15,334,34,Low Priority Item
P5003553,44.0,15,Slow Mover,366,16,286,14,Low Priority Item
AC0734,45.4,15,Slow Mover,105,17,49,30,Low Priority Item
P6010886,45.46666666666667,15,Slow Mover,216,15,90,20,Low Priority Item
AC2602,46.2,15,Slow Mover,77,15,73,35,Low Priority Item
P5001325,47.46666666666667,15,Slow Mover,55,28,39,22,Low Priority Item
P2001640,48.2,15,Slow Mover,1008,15,353,19,Low Priority Item
08-105-687-059,51.86666666666667,15,Slow Mover,112,15,171,61,Low Priority Item
P2003475,52.8,15,Slow Mover,50,16,25,19,Low Priority Item
103260LF,53.13333333333333,15,Slow Mover,2340,16,1152,14,Low Priority Item
P6010884,55.666666666666664,15,Slow Mover,121,15,56,18,Low Priority Item
P5001509,62.86666666666667,15,Slow Mover,46,15,53,27,Low Priority Item
P2001013,63.53333333333333,15,Slow Mover,68,23,30,19,Low Priority Item
P5001770,73.26666666666667,15,Slow Mover,86,16,83,30,Low Priority Item
V1001071,93.0,15,Slow Mover,105,15,91,13,Low Priority Item
117410LF,93.46666666666667,15,Slow Mover,7824,15,1473,19,Low Priority Item
V1001089,102.66666666666667,15,Slow Mover,25,15,24,18,Low Priority Item
52-129-440-520,216.73333333333332,15,Leftovers,30,15,4,4,Low Priority Item
P2000010,297.26666666666665,15,Leftovers,3150,15,3150,15,Low Priority Item
V51982,319.8,15,Leftovers,15,15,8,8,Low Priority Item
209085,518.0,15,Leftovers,869,15,496,12,Low Priority Item
DM0464,3.642857142857143,14,Fast Mover,55,16,47,24,Top Priority Item
175855,8.142857142857142,14,Medium Mover,69,14,83,37,Medium Priority Item
183519,8.857142857142858,14,Medium Mover,22,14,22,15,Low Priority Item
188554,9.357142857142858,14,Medium Mover,47,15,55,23,Medium Priority Item
P2001146,10.357142857142858,14,Medium Mover,580,21,642,97,Low Priority Item
182209,10.428571428571429,14,Medium Mover,19,15,15,12,Low Priority Item
AC6513,10.642857142857142,14,Medium Mover,100,14,106,37,Low Priority Item
178948,11.285714285714286,14,Medium Mover,22,16,17,14,Low Priority Item
DP0210,11.928571428571429,14,Medium Mover,288,16,112,51,Low Priority Item
104304,12.428571428571429,14,Medium Mover,49,14,100,26,Medium Priority Item
182200,14.142857142857142,14,Medium Mover,19,14,20,17,Low Priority Item
P6010142,14.785714285714286,14,Medium Mover,552,14,420,53,Low Priority Item
106514LF,14.857142857142858,14,Medium Mover,2592,14,1814,19,Low Priority Item
P5001053,15.928571428571429,14,Medium Mover,134,17,134,56,Low Priority Item
M99354,17.714285714285715,14,Medium Mover,15,15,14,14,Low Priority Item
178642,18.642857142857142,14,Medium Mover,31,15,33,21,Low Priority Item
P5001482,18.857142857142858,14,Medium Mover,105,21,73,27,Medium Priority Item
AC2465,19.5,14,Medium Mover,29,14,33,22,Low Priority Item
P81950,20.214285714285715,14,Medium Mover,5120,17,4096,18,Low Priority Item
104463LF,21.071428571428573,14,Medium Mover,39,16,41,27,Low Priority Item
P2001744,22.5,14,Medium Mover,126,16,154,54,Low Priority Item
60A0B1001,22.857142857142858,14,Medium Mover,768,16,512,24,Low Priority Item
SM2260,23.571428571428573,14,Medium Mover,24,14,24,14,Low Priority Item
P5001115,24.357142857142858,14,Medium Mover,177,18,145,36,Low Priority Item
52-239-571-001,26.642857142857142,14,Medium Mover,1304,14,867,79,Low Priority Item
P6010536,27.071428571428573,14,Medium Mover,42,15,40,21,Low Priority Item
P5002555,27.642857142857142,14,Medium Mover,121,15,111,33,Low Priority Item
P85304,30.071428571428573,14,Slow Mover,411,14,6,6,Low Priority Item
235400,32.42857142857143,14,Slow Mover,849,16,936,47,Low Priority Item
P6015057,33.42857142857143,14,Slow Mover,17,14,17,15,Low Priority Item
P58502,34.5,14,Slow Mover,7485,14,5805,20,Low Priority Item
P6010370,35.285714285714285,14,Slow Mover,336,14,173,17,Low Priority Item
P6014923,38.785714285714285,14,Slow Mover,250,14,132,20,Low Priority Item
175849,41.642857142857146,14,Slow Mover,46,16,50,31,Low Priority Item
SM2093,42.57142857142857,14,Slow Mover,414,15,254,12,Low Priority Item
903589,43.714285714285715,14,Slow Mover,327,16,307,17,Low Priority Item
226720,44.642857142857146,14,Slow Mover,2391,17,1977,65,Low Priority Item
903579,46.07142857142857,14,Slow Mover,230,14,193,15,Low Priority Item
SM0011,48.0,14,Slow Mover,18,14,18,16,Low Priority Item
V1000965,48.142857142857146,14,Slow Mover,72,14,81,32,Low Priority Item
P5003611,51.714285714285715,14,Slow Mover,240,14,165,44,Low Priority Item
P2001637,52.42857142857143,14,Slow Mover,202,14,120,21,Low Priority Item
228680,53.285714285714285,14,Slow Mover,1425,16,1536,28,Low Priority Item
AC0730,55.285714285714285,14,Slow Mover,334,17,178,29,Low Priority Item
P5002657,56.642857142857146,14,Slow Mover,57,14,36,18,Low Priority Item
P6010375,59.857142857142854,14,Slow Mover,302,14,186,23,Low Priority Item
V1001055,66.92857142857143,14,Slow Mover,85,15,92,28,Low Priority Item
P6013457,67.21428571428571,14,Slow Mover,23,14,18,12,Low Priority Item
G95807,83.21428571428571,14,Slow Mover,14400,17,9754,37,Low Priority Item
P6012611,85.78571428571429,14,Slow Mover,42,14,30,20,Low Priority Item
235941,101.0,14,Slow Mover,9360,14,9001,21,Low Priority Item
117107LF,112.92857142857143,14,Slow Mover,1400,14,776,34,Low Priority Item
P5004641,134.28571428571428,14,Slow Mover,42,14,31,16,Low Priority Item
52-462-165-501,141.57142857142858,14,Slow Mover,443,14,500,63,Low Priority Item
P5001203,195.85714285714286,14,Leftovers,83,14,36,8,Low Priority Item
181836,4.538461538461538,13,Fast Mover,50,16,40,14,Top Priority Item
178463,5.538461538461538,13,Fast Mover,27,14,23,19,Top Priority Item
P5003566,6.384615384615385,13,Fast Mover,1883,15,1079,99,Top Priority Item
52-460-769-700,6.923076923076923,13,Fast Mover,22,14,19,16,Top Priority Item
188709,11.846153846153847,13,Medium Mover,20,16,18,14,Low Priority Item
SM0732,13.307692307692308,13,Medium Mover,24,13,21,15,Low Priority Item
P63247,14.384615384615385,13,Medium Mover,420,21,260,14,Low Priority Item
P63246,14.538461538461538,13,Medium Mover,102,13,102,19,Low Priority Item
175845,15.384615384615385,13,Medium Mover,36,13,37,29,Low Priority Item
V59171,17.923076923076923,13,Medium Mover,2022,14,2469,51,Low Priority Item
P6010514,18.0,13,Medium Mover,43,13,52,30,Medium Priority Item
175074,18.153846153846153,13,Medium Mover,16,16,13,13,Low Priority Item
P63238,18.615384615384617,13,Medium Mover,1239,13,1188,18,Low Priority Item
178635,18.846153846153847,13,Medium Mover,48,14,48,27,Low Priority Item
52-239-347-001,19.0,13,Medium Mover,133,18,82,32,Medium Priority Item
P2002510,19.846153846153847,13,Medium Mover,131,15,103,44,Low Priority Item
SM0706,21.307692307692307,13,Medium Mover,47,15,45,33,Low Priority Item
DM0442,21.692307692307693,13,Medium Mover,120,18,60,36,Medium Priority Item
P6010099,21.692307692307693,13,Medium Mover,578,14,382,37,Low Priority Item
P81952,24.384615384615383,13,Medium Mover,4736,16,4263,31,Low Priority Item
P63244,25.384615384615383,13,Medium Mover,610,15,460,26,Low Priority Item
P6015055,25.76923076923077,13,Medium Mover,28,13,36,24,Low Priority Item
P6014857,25.846153846153847,13,Medium Mover,65,15,23,13,Low Priority Item
175027,26.153846153846153,13,Medium Mover,34,13,36,22,Low Priority Item
P78922,29.23076923076923,13,Medium Mover,19083,14,8785,46,Low Priority Item
903577,30.692307692307693,13,Slow Mover,247,13,200,22,Low Priority Item
7C0252020,33.53846153846154,13,Slow Mover,604,18,459,31,Low Priority Item
AP0150,34.38461538461539,13,Slow Mover,35,17,34,22,Low Priority Item
P6014971,35.61538461538461,13,Slow Mover,187,13,172,30,Low Priority Item
P6015263,37.69230769230769,13,Slow Mover,181,13,52,14,Low Priority Item
AP0148,37.84615384615385,13,Slow Mover,33,13,37,23,Low Priority Item
AC8810,38.07692307692308,13,Slow Mover,65,13,45,15,Low Priority Item
P63239,39.38461538461539,13,Slow Mover,320,15,259,17,Low Priority Item
DB0113,39.46153846153846,13,Slow Mover,18,15,18,17,Low Priority Item
P00220,40.07692307692308,13,Slow Mover,992,13,837,26,Low Priority Item
P6015308,41.38461538461539,13,Slow Mover,101,16,44,16,Low Priority Item
52-261-022-001,41.69230769230769,13,Slow Mover,13,13,16,16,Low Priority Item
52-116-918-521,42.61538461538461,13,Slow Mover,26,13,17,17,Low Priority Item
P6010911,50.07692307692308,13,Slow Mover,444,13,317,63,Low Priority Item
G95787,50.46153846153846,13,Slow Mover,7020,14,4235,17,Low Priority Item
7C0342490,51.92307692307692,13,Slow Mover,101,16,101,29,Low Priority Item
V1001107,54.30769230769231,13,Slow Mover,92,13,116,32,Low Priority Item
P6011452,55.76923076923077,13,Slow Mover,51,15,23,13,Low Priority Item
AC2607,55.92307692307692,13,Slow Mover,81,15,80,34,Low Priority Item
P6015550,58.69230769230769,13,Slow Mover,177,14,113,33,Low Priority Item
V1000921,58.92307692307692,13,Slow Mover,442,13,385,14,Low Priority Item
175838,85.92307692307692,13,Slow Mover,13,13,14,14,Low Priority Item
P2000830,87.84615384615384,13,Slow Mover,261,13,328,50,Low Priority Item
52-239-343-001,89.3076923076923,13,Slow Mover,110,14,90,41,Low Priority Item
P6015268,92.6923076923077,13,Slow Mover,208,13,54,14,Low Priority Item
DT0798,137.84615384615384,13,Slow Mover,13,13,13,13,Low Priority Item
P6015548,145.92307692307693,13,Slow Mover,165,13,267,35,Low Priority Item
P5001503,171.0,13,Slow Mover,87,13,96,35,Low Priority Item
P6015899,202.53846153846155,13,Leftovers,26,14,7,2,Low Priority Item
P6014929,235.53846153846155,13,Leftovers,181,13,60,12,Low Priority Item
P63248,2.6666666666666665,12,Fast Mover,185,14,140,15,Top Priority Item
SM2120,4.083333333333333,12,Fast Mover,28,12,26,15,Top Priority Item
52-460-769-009,4.916666666666667,12,Fast Mover,28,28,10,10,Low Priority Item
P5004259,7.666666666666667,12,Medium Mover,2842,12,2253,77,Low Priority Item
P5001118,7.833333333333333,12,Medium Mover,25,15,7,6,Medium Priority Item
SM0735,7.833333333333333,12,Medium Mover,13,12,12,11,Low Priority Item
