item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
M99428,133.66666666666666,3,Slow Mover,3,3,3,3,Low Priority Item
60AABT001,138.0,3,Slow Mover,1824,10,312,7,Low Priority Item
762503660,138.0,3,Slow Mover,14,3,10,4,Low Priority Item
SM0184,138.0,3,Slow Mover,6,3,4,2,Low Priority Item
A91265,138.33333333333334,3,Slow Mover,237,3,233,6,Low Priority Item
P5001790,138.33333333333334,3,Slow Mover,73,3,51,9,Low Priority Item
P2001157,139.0,3,Slow Mover,169,12,66,8,Low Priority Item
772610734,141.33333333333334,3,Slow Mover,240,3,260,6,Low Priority Item
AP0164,141.66666666666666,3,Slow Mover,6,3,6,5,Low Priority Item
772650305,144.0,3,Slow Mover,300,3,159,14,Low Priority Item
AP0043,146.0,3,Slow Mover,84,3,171,50,Low Priority Item
P6013506,146.33333333333334,3,Slow Mover,48,3,70,12,Low Priority Item
7C0252070,147.0,3,Slow Mover,24,3,15,2,Low Priority Item
P6014956,148.33333333333334,3,Slow Mover,32,4,16,7,Low Priority Item
P6010416,150.0,3,Slow Mover,150,3,158,8,Low Priority Item
7C1252230,152.66666666666666,3,Slow Mover,32,3,8,3,Low Priority Item
52-460-769-005,154.0,3,Slow Mover,3,3,3,3,Low Priority Item
765270160,154.66666666666666,3,Slow Mover,42,6,39,4,Low Priority Item
P6011004,155.66666666666666,3,Slow Mover,27,3,33,8,Low Priority Item
707940270,157.0,3,Slow Mover,14,3,16,6,Low Priority Item
SM0009,157.0,3,Slow Mover,3,3,2,2,Low Priority Item
V50940,158.66666666666666,3,Slow Mover,50,3,50,3,Low Priority Item
768082420,160.33333333333334,3,Slow Mover,10,4,7,2,Low Priority Item
P6011197,163.0,3,Slow Mover,53,3,51,4,Low Priority Item
P6015306,164.0,3,Slow Mover,24,5,4,2,Low Priority Item
AP0163,165.0,3,Slow Mover,3,3,3,3,Low Priority Item
P6019699,165.33333333333334,3,Slow Mover,45,3,45,3,Low Priority Item
P6015324,166.0,3,Slow Mover,13,4,2,1,Low Priority Item
P2000054,172.0,3,Slow Mover,336,3,336,3,Low Priority Item
P5004256,172.0,3,Slow Mover,750,3,550,3,Low Priority Item
V51673,173.33333333333334,3,Slow Mover,5500,5,1100,3,Low Priority Item
P2002330,174.33333333333334,3,Slow Mover,24,4,12,4,Low Priority Item
M1000227,175.0,3,Slow Mover,5280,3,5880,11,Low Priority Item
P6013480,175.0,3,Slow Mover,10,5,6,4,Low Priority Item
P6013351,181.33333333333334,3,Leftovers,74,4,45,5,Low Priority Item
117678LF,182.0,3,Leftovers,300,3,300,5,Low Priority Item
SM2112,183.0,3,Leftovers,88,4,46,5,Low Priority Item
