year,quarter,item_number,shipped_qty,average_inventory,turnover_rate
2021,1,52-427-285-501,76.0,-22.0,-3.4545454545454546
2021,1,52-460-745-501,0.0,2.0,0.0
2021,1,52-460-761-501,0.0,4.0,0.0
2021,1,52-461-103-501,1.0,-0.5,-2.0
2021,1,52-461-395-001,0.0,100.0,0.0
2021,1,52-461-475-000,3.0,1.5,2.0
2021,1,52-461-827-501,1.0,0.25,4.0
2021,1,52-461-828-501,0.0,0.5,0.0
2021,1,52-462-482-501,43.0,-20.25,-2.123456790123457
2021,1,52-462-487-501,4.0,13.0,0.3076923076923077
2021,1,52-462-491-501,41.0,-23.75,-1.7263157894736842
2021,1,555036,20.0,10.0,2.0
2021,1,555038,44.0,19.5,2.2564102564102564
2021,1,555039,45.0,-2.5,-18.0
2021,1,555075,28.0,1.3333333333333333,21.0
2021,1,572651076,1.0,-0.5,-2.0
2021,1,707940240,26.0,-13.0,-2.0
2021,1,760186000,2.0,-1.0,-2.0
2021,1,760186060,1.0,-0.5,-2.0
2021,1,760186070,3.0,-1.5,-2.0
2021,1,760186100,7.0,-3.5,-2.0
2021,1,760311729,2.0,-1.0,-2.0
2021,1,760382020,1.0,-0.5,-2.0
2021,1,760382040,0.0,0.5,0.0
2021,1,760382700,5.0,0.5,10.0
2021,1,7604A0080,0.0,1.5,0.0
2021,1,7604B0159,2.0,-1.0,-2.0
2021,1,760851440,1.0,-0.5,-2.0
2021,1,760913430,0.0,18.0,0.0
2021,1,761200510,14.0,-7.0,-2.0
2021,1,761200520,10.0,-3.5,-2.857142857142857
2021,1,761200530,1.0,-0.5,-2.0
2021,1,761210120,6.0,-3.0,-2.0
2021,1,761911670,0.0,0.5,0.0
2021,1,762290100,26.0,-8.5,-3.0588235294117645
2021,1,762811010,4.0,-2.0,-2.0
2021,1,762871000,1.0,-0.5,-2.0
2021,1,762881010,66.0,-47.5,-1.3894736842105264
2021,1,763380100,37.0,-18.5,-2.0
2021,1,763418110,8.0,-4.0,-2.0
2021,1,763418130,1.0,-0.5,-2.0
2021,1,763478050,1.0,-0.5,-2.0
2021,1,763478060,43.0,-21.5,-2.0
2021,1,763871070,2.0,-1.0,-2.0
2021,1,763871080,1.0,-0.5,-2.0
2021,1,765310150,4.0,-2.0,-2.0
2021,1,765310200,8.0,-4.0,-2.0
2021,1,765350150,2.0,-1.0,-2.0
2021,1,765350160,14.0,-9.5,-1.4736842105263157
2021,1,767780010,3.0,-1.75,-1.7142857142857142
2021,1,768081040,248.0,-124.0,-2.0
2021,1,768560850,116.0,-70.5,-1.6453900709219857
2021,1,769580070,41.0,-29.75,-1.3781512605042017
2021,1,769580920,11.0,1.75,6.285714285714286
2021,1,769582630,16.0,-10.0,-1.6
2021,1,769582730,18.0,-9.0,-2.0
2021,1,769582770,7.0,-1.75,-4.0
2021,1,772221421,16.0,-11.0,-1.4545454545454546
2021,1,772230322,48.0,-33.0,-1.4545454545454546
2021,1,772310243,4.0,-2.0,-2.0
2021,1,772610246,0.0,10.0,0.0
2021,1,772610723,398.0,-290.5,-1.370051635111876
2021,1,772611228,16.0,-8.0,-2.0
2021,1,772611243,20.0,-8.0,-2.5
2021,1,772613407,48.0,-24.0,-2.0
2021,1,772614122,14.0,-7.0,-2.0
2021,1,772614553,1.0,-0.5,-2.0
2021,1,772615715,4.0,-2.0,-2.0
2021,1,772630152,59.0,-29.5,-2.0
2021,1,772630422,8.0,-4.0,-2.0
2021,1,772631350,3.0,-1.5,-2.0
2021,1,772634055,104.0,-28.0,-3.7142857142857144
2021,1,772634056,15.0,-7.5,-2.0
2021,1,772634104,225.0,-112.5,-2.0
2021,1,772634152,204.0,-102.0,-2.0
2021,1,772634153,193.0,-72.75,-2.6529209621993126
2021,1,772634336,44.0,-31.0,-1.4193548387096775
2021,1,772640810,5.0,5.5,0.9090909090909091
2021,1,772640853,0.0,10.0,0.0
2021,1,772640855,1.0,-0.5,-2.0
2021,1,772650305,13.0,-8.75,-1.4857142857142858
2021,1,772650353,14.0,-9.5,-1.4736842105263157
2021,1,772650566,7.0,-3.5,-2.0
2021,1,772650568,1.0,-0.5,-2.0
2021,1,772762007,5.0,-2.5,-2.0
2021,1,772762040,19.0,-9.5,-2.0
2021,1,772762258,2.0,-1.0,-2.0
2021,1,772818941,62.0,-38.5,-1.6103896103896105
2021,1,7C0154070,15.0,-7.5,-2.0
2021,1,7C0154100,1.0,-0.5,-2.0
2021,1,7C0154150,0.0,3.0,0.0
2021,1,7C0252030,64.0,-45.0,-1.4222222222222223
2021,1,7C0342490,8.0,-4.0,-2.0
2021,1,7C0342530,3.0,0.0,inf
2021,1,7C0352220,2.0,-1.0,-2.0
2021,1,7C0352790,0.0,0.5,0.0
2021,1,7C0449080,11.0,-5.5,-2.0
2021,1,7C0455130,0.0,1.5,0.0
2021,1,7C064101A,94.0,-29.0,-3.2413793103448274
2021,1,7C065102B,0.0,5.5,0.0
2021,1,7C0851370,1.0,2.0,0.5
2021,1,7C0851400,1.0,-0.5,-2.0
2021,1,7C1052510,43.0,-31.25,-1.376
2021,1,7C1252110,8.0,-4.0,-2.0
2021,1,7C1252160,46.0,-23.0,-2.0
2021,1,7C1941020,7.0,-4.75,-1.4736842105263157
2021,1,7C5750500,2.0,-1.0,-2.0
2021,1,7C8051000,4.0,-2.0,-2.0
2021,1,7C8051020,3.0,6.25,0.48
2021,1,7C9550100,28.0,-14.0,-2.0
2021,1,7C9550120,7.0,-4.75,-1.4736842105263157
2021,1,A07001,6.0,-3.0,-2.0
2021,1,A07033,0.0,12.5,0.0
2021,1,A91557,25.0,-12.5,-2.0
2021,1,A91558,25.0,-12.5,-2.0
2021,1,A91561,6.0,-3.0,-2.0
2021,1,AC0394,5.0,-2.5,-2.0
2021,1,AC0420,2.0,4.5,0.4444444444444444
2021,1,AC0480,5.0,-2.5,-2.0
2021,1,AC0732,41.0,-19.75,-2.0759493670886076
2021,1,AC0734,3.0,-1.5,-2.0
2021,1,AC1733,2.0,0.0,inf
2021,1,AC1849,0.0,0.5,0.0
2021,1,AC1850,0.0,1.0,0.0
2021,1,AC1854,5.0,1.75,2.857142857142857
2021,1,AC1856,2.0,-1.0,-2.0
2021,1,AC1859,2.0,1.0,2.0
2021,1,AC1860,7.0,15.5,0.45161290322580644
2021,1,AC1863,11.0,12.833333333333334,0.8571428571428571
2021,1,AC1864,9.0,1.25,7.2
2021,1,AC1865,2.0,-1.0,-2.0
2021,1,AC1866,0.0,4.0,0.0
2021,1,AC1867,9.0,-1.75,-5.142857142857143
2021,1,AC1868,5.0,4.166666666666667,1.2
2021,1,AC1869,8.0,3.0,2.6666666666666665
2021,1,AC1871,7.0,2.8333333333333335,2.4705882352941173
2021,1,AC2173,2.0,0.25,8.0
2021,1,AC2175,0.0,1.5,0.0
2021,1,AC2459,0.0,3.5,0.0
2021,1,AC2465,6.0,0.5,12.0
2021,1,AC2477,1.0,-0.5,-2.0
2021,1,AC2522,2.0,7.0,0.2857142857142857
2021,1,AC2530,2.0,-1.0,-2.0
2021,1,AC2531,1.0,-0.5,-2.0
2021,1,AC2532,7.0,6.833333333333333,1.024390243902439
2021,1,AC2554,4.0,-2.0,-2.0
2021,1,AC2559,0.0,2.0,0.0
2021,1,AC2585,3.0,-1.5,-2.0
2021,1,AC2587,1.0,0.0,inf
2021,1,AC2602,4.0,-2.0,-2.0
2021,1,AC2603,0.0,2.0,0.0
2021,1,AC2606,1.0,2.0,0.5
2021,1,AC2607,14.0,-7.0,-2.0
2021,1,AC2608,5.0,-2.75,-1.8181818181818181
2021,1,AC2614,1.0,0.0,inf
2021,1,AC5729,6.0,-3.5,-1.7142857142857142
2021,1,AC5743,1.0,-0.5,-2.0
2021,1,AC5909,1.0,-0.5,-2.0
2021,1,AC6034,0.0,2.5,0.0
2021,1,AC6113,176.0,165.0,1.0666666666666667
2021,1,AC6142,0.0,1.0,0.0
2021,1,AC6503,19.0,4.5,4.222222222222222
2021,1,AC6513,8.0,0.0,inf
2021,1,AC8345,0.0,1.0,0.0
2021,1,AC8347,0.0,1.0,0.0
2021,1,AC8352,0.0,0.5,0.0
2021,1,AC8431,5.0,-2.5,-2.0
2021,1,AC8479,0.0,2.0,0.0
2021,1,AC8480,6.0,1.25,4.8
2021,1,AC8574,0.0,2.0,0.0
2021,1,AC8668,10.0,-5.0,-2.0
2021,1,AM2736900,3.0,3.0,1.0
2021,1,AM3841901,20.0,-10.0,-2.0
2021,1,AP0043,10.0,-5.0,-2.0
2021,1,AP0099,48.0,-24.0,-2.0
2021,1,AP0114,1.0,-0.5,-2.0
2021,1,AP0144,4.0,1.25,3.2
2021,1,AP0148,4.0,-1.5,-2.6666666666666665
2021,1,AP0150,5.0,-2.25,-2.2222222222222223
2021,1,AP0152,3.0,-1.25,-2.4
2021,1,AP0154,1.0,-0.5,-2.0
2021,1,AP0156,4.0,3.5,1.1428571428571428
2021,1,AP3985,2.0,-1.0,-2.0
2021,1,DB0113,2.0,4.25,0.47058823529411764
2021,1,DE0077,6.0,-3.0,-2.0
2021,1,DF0676,0.0,24.0,0.0
2021,1,DF0678,0.0,240.0,0.0
2021,1,DP0208,0.0,125.0,0.0
2021,1,DP0692,52.0,77.0,0.6753246753246753
2021,1,DP0780,2.0,1.5,1.3333333333333333
2021,1,DP1603,47.0,-23.5,-2.0
2021,1,DP1604,131.0,-58.25,-2.2489270386266096
2021,1,DP1606,17.0,41.5,0.40963855421686746
2021,1,DR0232,4.0,-2.0,-2.0
2021,1,DR0234,3.0,3.0,1.0
2021,1,DR0298,0.0,0.5,0.0
2021,1,DR0308,2.0,-1.0,-2.0
2021,1,DR0610,18.0,-9.0,-2.0
2021,1,DR0612,139.0,8.0,17.375
2021,1,DT0766,13.0,11.0,1.1818181818181819
2021,1,DT0769,0.0,2.5,0.0
2021,1,DT0772,52.0,30.666666666666668,1.6956521739130435
2021,1,F74000,0.0,252.0,0.0
2021,1,FJ872A,1.0,0.0,inf
2021,1,G96817,0.0,160.0,0.0
2021,1,G96819,60.0,99.66666666666667,0.6020066889632106
2021,1,M1000227,600.0,-270.0,-2.2222222222222223
2021,1,M1000230,540.0,-225.0,-2.4
2021,1,M1000232,120.0,-60.0,-2.0
2021,1,M28099,0.0,2016.0,0.0
2021,1,M28177,96.0,744.0,0.12903225806451613
2021,1,P00352,716.0,-358.0,-2.0
2021,1,P03560,150.0,175.0,0.8571428571428571
2021,1,P2000011,4.0,17.75,0.22535211267605634
2021,1,P2000034,46.0,46.0,1.0
2021,1,P2000655,2.0,-1.0,-2.0
2021,1,P2000656,4.0,6.5,0.6153846153846154
2021,1,P2000658,4.0,5.0,0.8
2021,1,P2000659,1.0,-0.5,-2.0
2021,1,P2000676,6.0,4.833333333333333,1.2413793103448276
2021,1,P2000677,3.0,2.0,1.5
2021,1,P2000678,7.0,-0.5,-14.0
2021,1,P2000680,6.0,4.333333333333333,1.3846153846153848
2021,1,P2000682,8.0,-5.0,-1.6
2021,1,P2000683,2.0,-1.0,-2.0
2021,1,P2000688,4.0,-2.0,-2.0
2021,1,P2000692,1.0,-0.5,-2.0
2021,1,P2000726,6.0,4.0,1.5
2021,1,P2000822,0.0,48.0,0.0
2021,1,P2000828,18.0,-6.5,-2.769230769230769
2021,1,P2000838,32.0,48.0,0.6666666666666666
2021,1,P2000842,177.0,-23.75,-7.4526315789473685
2021,1,P2000844,5.0,-2.5,-2.0
2021,1,P2000848,0.0,52.5,0.0
2021,1,P2000850,5.0,-2.5,-2.0
2021,1,P2000852,0.0,63.0,0.0
2021,1,P2000856,9.0,40.5,0.2222222222222222
2021,1,P2000872,86.0,26.5,3.2452830188679247
2021,1,P2000890,12.0,4.0,3.0
2021,1,P2001053,0.0,1.5,0.0
2021,1,P2001125,640.0,0.0,inf
2021,1,P2001149,4.0,-2.0,-2.0
2021,1,P2001152,0.0,25.0,0.0
2021,1,P2001155,11.0,8.25,1.3333333333333333
2021,1,P2001235,4.0,-2.0,-2.0
2021,1,P2001337,15.0,346.25,0.04332129963898917
2021,1,P2001391,5.0,5.25,0.9523809523809523
2021,1,P2001575,0.0,240.0,0.0
2021,1,P2001576,0.0,15.0,0.0
2021,1,P2001577,23.0,6.75,3.4074074074074074
2021,1,P2001601,36.0,0.0,inf
2021,1,P2001605,10.0,3.0,3.3333333333333335
2021,1,P2001617,35.0,14.5,2.413793103448276
2021,1,P2001621,24.0,36.0,0.6666666666666666
2021,1,P2001623,24.0,0.0,inf
2021,1,P2001625,45.0,-17.833333333333332,-2.5233644859813085
2021,1,P2001630,10.0,10.25,0.975609756097561
2021,1,P2001637,0.0,5.0,0.0
2021,1,P2001638,10.0,7.5,1.3333333333333333
2021,1,P2001639,10.0,-2.0,-5.0
2021,1,P2001640,34.0,-17.0,-2.0
2021,1,P2001641,0.0,5.0,0.0
2021,1,P2001745,40.0,-17.0,-2.3529411764705883
2021,1,P2002376,100.0,50.0,2.0
2021,1,P2002394,8.0,-4.0,-2.0
2021,1,P2002398,6.0,-3.0,-2.0
2021,1,P2002402,0.0,10.0,0.0
2021,1,P2002404,24.0,54.666666666666664,0.43902439024390244
2021,1,P2002406,15.0,53.5,0.2803738317757009
2021,1,P2002412,12.0,13.5,0.8888888888888888
2021,1,P2002414,25.0,11.833333333333334,2.112676056338028
2021,1,P2002422,20.0,14.5,1.3793103448275863
2021,1,P2002444,14.0,2.3333333333333335,6.0
2021,1,P2002445,0.0,1.0,0.0
2021,1,P2002459,10.0,1.5,6.666666666666667
2021,1,P2002461,8.0,0.5,16.0
2021,1,P2002463,18.0,3.6666666666666665,4.909090909090909
2021,1,P2002465,22.0,9.666666666666666,2.2758620689655173
2021,1,P2002467,0.0,4.0,0.0
2021,1,P2002469,8.0,3.3333333333333335,2.4
2021,1,P2002471,3.0,3.25,0.9230769230769231
2021,1,P2002480,44.0,2.0,22.0
2021,1,P2002484,0.0,9.5,0.0
2021,1,P2002519,8.0,-4.0,-2.0
2021,1,P2002522,0.0,2.0,0.0
2021,1,P2002591,84.0,-1.1666666666666667,-72.0
2021,1,P2002629,2.0,-1.25,-1.6
2021,1,P2002637,9.0,0.0,inf
2021,1,P2002701,2.0,3.0,0.6666666666666666
2021,1,P2002869,1.0,-0.5,-2.0
2021,1,P2003151,4.0,1.5,2.6666666666666665
2021,1,P2003328,1.0,0.5,2.0
2021,1,P2003472,18.0,6.666666666666667,2.6999999999999997
2021,1,P2003473,2.0,-1.0,-2.0
2021,1,P2003474,4.0,0.3333333333333333,12.0
2021,1,P2003475,2.0,4.0,0.5
2021,1,P2003476,1.0,2.5,0.4
2021,1,P2003516,6.0,1.0,6.0
2021,1,P2004413,0.0,25.0,0.0
2021,1,P2004415,0.0,48.0,0.0
2021,1,P2004417,18.0,-8.0,-2.25
2021,1,P2004419,0.0,12.0,0.0
2021,1,P2004421,9.0,33.75,0.26666666666666666
2021,1,P2004423,32.0,-16.0,-2.0
2021,1,P2004425,18.0,-3.0,-6.0
2021,1,P2004427,50.0,-10.5,-4.761904761904762
2021,1,P2004438,0.0,8.0,0.0
2021,1,P2004561,8.0,-2.0,-4.0
2021,1,P2004563,5.0,15.5,0.3225806451612903
2021,1,P2004565,12.0,0.0,inf
2021,1,P2004622,0.0,440.0,0.0
2021,1,P2004626,0.0,280.0,0.0
2021,1,P2004630,114.0,-57.0,-2.0
2021,1,P2004632,80.0,-40.0,-2.0
2021,1,P2004638,40.0,-20.0,-2.0
2021,1,P40600,34.0,-17.0,-2.0
2021,1,P41100,18.0,0.25,72.0
2021,1,P41620,20.0,8.0,2.5
2021,1,P41624,7.0,-3.5,-2.0
2021,1,P41780,36.0,54.0,0.6666666666666666
2021,1,P42542,0.0,175.0,0.0
2021,1,P42546,22.0,25.0,0.88
2021,1,P43672,15.0,4.5,3.3333333333333335
2021,1,P43972,12.0,28.75,0.41739130434782606
2021,1,P44081,25.0,56.0,0.44642857142857145
2021,1,P45730,120.0,60.0,2.0
2021,1,P47800,4.0,-1.0,-4.0
2021,1,P48498,0.0,250.0,0.0
2021,1,P5001017,0.0,75.0,0.0
2021,1,P5001021,2.0,-1.0,-2.0
2021,1,P5001024,0.0,50.0,0.0
2021,1,P5001041,0.0,10.0,0.0
2021,1,P5001055,1.0,-0.5,-2.0
2021,1,P5001074,10.0,-3.5,-2.857142857142857
2021,1,P5001075,12.0,-4.0,-3.0
2021,1,P5001079,41.0,-13.75,-2.981818181818182
2021,1,P5001082,3.0,-1.75,-1.7142857142857142
2021,1,P5001128,0.0,5.0,0.0
2021,1,P5001141,0.0,2.0,0.0
2021,1,P5001143,10.0,-0.25,-40.0
2021,1,P5001144,0.0,9.0,0.0
2021,1,P5001178,5.0,-2.5,-2.0
2021,1,P5001185,3.0,24.0,0.125
2021,1,P5001186,0.0,7.0,0.0
2021,1,P5001189,13.0,-4.25,-3.0588235294117645
2021,1,P5001221,0.0,4.5,0.0
2021,1,P5001231,0.0,7.0,0.0
