item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
103418LF,2021-07-31 00:00:00,576.0,2021-07,2021-07-31 00:00:00,1152.0,2.0,1.0
103418LF,2021-08-31 00:00:00,256.0,2021-08,2021-08-31 00:00:00,512.0,2.0,2.0
104300,2021-02-28 00:00:00,8.0,2021-02,0,0.0,0.0,
104300,2021-03-31 00:00:00,36.0,2021-03,0,0.0,0.0,0.0
104300,2021-06-30 00:00:00,86.0,2021-06,2021-06-30 00:00:00,36.0,0.4186046511627907,0.0
104300,2021-07-31 00:00:00,15.0,2021-07,2021-07-31 00:00:00,72.0,4.8,0.4186046511627907
104300,2021-08-31 00:00:00,20.0,2021-08,2021-08-31 00:00:00,90.0,4.5,4.8
104300,2021-09-30 00:00:00,27.0,2021-09,2021-09-30 00:00:00,36.0,1.3333333333333333,4.5
104300,2021-10-31 00:00:00,18.0,2021-10,2021-10-31 00:00:00,38.0,2.111111111111111,1.3333333333333333
104300,2021-11-30 00:00:00,18.0,2021-11,0,0.0,0.0,2.111111111111111
104300,2021-12-31 00:00:00,18.0,2021-12,0,0.0,0.0,0.0
104300,2022-01-31 00:00:00,30.0,2022-01,2022-01-31 00:00:00,41.0,1.3666666666666667,0.0
104300,2022-02-28 00:00:00,72.0,2022-02,2022-02-28 00:00:00,12.0,0.16666666666666666,1.3666666666666667
104300,2022-03-31 00:00:00,15.0,2022-03,2022-03-31 00:00:00,6.0,0.4,0.16666666666666666
104300,2022-04-30 00:00:00,54.0,2022-04,2022-04-30 00:00:00,54.0,1.0,0.4
104300,2022-06-30 00:00:00,18.0,2022-06,2022-06-30 00:00:00,6.0,0.3333333333333333,1.0
104300,2022-07-31 00:00:00,36.0,2022-07,2022-07-31 00:00:00,48.0,1.3333333333333333,0.3333333333333333
104300,2022-08-31 00:00:00,36.0,2022-08,2022-08-31 00:00:00,60.0,1.6666666666666667,1.3333333333333333
104300,2022-10-31 00:00:00,36.0,2022-10,0,0.0,0.0,1.6666666666666667
104300,2023-03-31 00:00:00,54.0,2023-03,0,0.0,0.0,0.0
104300,2023-05-31 00:00:00,18.0,2023-05,2023-05-31 00:00:00,2.0,0.1111111111111111,0.0
104300,2023-07-31 00:00:00,18.0,2023-07,2023-07-31 00:00:00,56.0,3.111111111111111,0.1111111111111111
104300,2023-09-30 00:00:00,18.0,2023-09,0,0.0,0.0,3.111111111111111
104301,2021-06-30 00:00:00,241.0,2021-06,2021-06-30 00:00:00,144.0,0.5975103734439834,
104301,2021-07-31 00:00:00,128.0,2021-07,2021-07-31 00:00:00,252.0,1.96875,0.5975103734439834
104301,2021-08-31 00:00:00,104.0,2021-08,2021-08-31 00:00:00,196.0,1.8846153846153846,1.96875
104301,2021-09-30 00:00:00,204.0,2021-09,2021-09-30 00:00:00,304.0,1.4901960784313726,1.8846153846153846
104301,2021-12-31 00:00:00,54.0,2021-12,0,0.0,0.0,1.4901960784313726
104301,2022-02-28 00:00:00,104.0,2022-02,2022-02-28 00:00:00,29.0,0.27884615384615385,0.0
104301,2022-03-31 00:00:00,80.0,2022-03,2022-03-31 00:00:00,147.0,1.8375,0.27884615384615385
104301,2022-04-30 00:00:00,102.0,2022-04,0,0.0,0.0,1.8375
104301,2022-05-31 00:00:00,72.0,2022-05,0,0.0,0.0,0.0
