year,month,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,2,103260LF,0.0,144.0,0.0
2021,2,103350,0.0,216.0,0.0
2021,2,103400,0.0,2100.0,0.0
2021,2,104300,0.0,4.0,0.0
2021,2,104302,11.0,-2.0,-5.5
2021,2,104303,0.0,1.5,0.0
2021,2,104304,2.0,-1.0,-2.0
2021,2,104306,36.0,-13.0,-2.769230769230769
2021,2,104308,36.0,18.0,2.0
2021,2,104309,42.0,-15.0,-2.8
2021,2,104310,0.0,12.0,0.0
2021,2,104312,8.0,-1.5,-5.333333333333333
2021,2,104313,1.0,-1.0,-1.0
2021,2,104318,40.0,4.0,10.0
2021,2,104321,10.0,10.5,0.9523809523809523
2021,2,104323,0.0,8.0,0.0
2021,2,104450LF,16.0,40.0,0.4
2021,2,104452LF,0.0,12.0,0.0
2021,2,104453LF,0.0,6.5,0.0
2021,2,104456LF,0.0,5.0,0.0
2021,2,104459LF,4.0,0.0,inf
2021,2,104460LF,2.0,4.0,0.5
2021,2,104463LF,0.0,1.0,0.0
2021,2,104465LF,3.0,6.0,0.5
2021,2,104478LF,2.0,1.0,2.0
2021,2,104603,2.0,-1.0,-2.0
2021,2,104606,8.0,-4.0,-2.0
2021,2,106507,0.0,72.0,0.0
2021,2,112098,12.0,-6.0,-2.0
2021,2,112100,14.0,-7.0,-2.0
2021,2,112119,86.0,-43.0,-2.0
2021,2,115072,4.0,-2.0,-2.0
2021,2,115074,14.0,-7.0,-2.0
2021,2,115104,72.0,216.0,0.3333333333333333
2021,2,115111,30.0,65.0,0.46153846153846156
2021,2,115112,46.0,61.0,0.7540983606557377
2021,2,115113,0.0,15.5,0.0
2021,2,115114,72.0,18.0,4.0
2021,2,115116,36.0,54.0,0.6666666666666666
2021,2,115117,18.0,9.0,2.0
2021,2,115118,12.0,147.0,0.08163265306122448
2021,2,115119,126.0,27.0,4.666666666666667
2021,2,115120,54.0,45.0,1.2
2021,2,115121,94.0,153.0,0.6143790849673203
2021,2,115122,40.0,10.0,4.0
2021,2,115123,204.0,6.0,34.0
2021,2,115124,40.0,30.0,1.3333333333333333
2021,2,115125,62.0,37.0,1.6756756756756757
2021,2,115127,32.0,21.0,1.5238095238095237
2021,2,115128,0.0,18.0,0.0
2021,2,115129,4.0,14.0,0.2857142857142857
2021,2,115170,56.0,-28.0,-2.0
2021,2,115174,0.0,18.0,0.0
2021,2,115177,0.0,36.0,0.0
2021,2,115178,18.0,-9.0,-2.0
2021,2,115180,24.0,6.0,4.0
2021,2,115181,10.0,10.0,1.0
2021,2,115182,30.0,0.0,inf
2021,2,115185,4.0,-2.0,-2.0
2021,2,115186,8.0,-4.0,-2.0
2021,2,115187,34.0,-5.0,-6.8
2021,2,115188,12.0,20.0,0.6
2021,2,178804,2.0,-1.0,-2.0
2021,2,179319,2.0,-1.0,-2.0
2021,2,185141,0.0,540.0,0.0
2021,2,209091,200.0,-100.0,-2.0
2021,2,210195,53.0,-26.5,-2.0
2021,2,210618,0.0,540.0,0.0
2021,2,210619,0.0,2700.0,0.0
2021,2,216790,0.0,400.0,0.0
2021,2,226240,77.0,-38.5,-2.0
2021,2,227000,6.0,-3.0,-2.0
2021,2,229940,3.0,-1.5,-2.0
2021,2,231820,0.0,200.0,0.0
2021,2,233380,458.0,-229.0,-2.0
2021,2,245005,0.0,150.0,0.0
2021,2,245105,82.0,-41.0,-2.0
2021,2,245122,0.0,400.0,0.0
2021,2,245123,14.0,-7.0,-2.0
2021,2,245592,0.0,75.0,0.0
2021,2,246271,0.0,800.0,0.0
2021,2,501068,140.0,-70.0,-2.0
2021,2,509101,396.0,-198.0,-2.0
2021,2,510825,54.0,-27.0,-2.0
2021,2,510936,115.0,-57.5,-2.0
2021,2,512740,253.0,-126.5,-2.0
2021,2,512749,22.0,-11.0,-2.0
2021,2,513049,170.0,-85.0,-2.0
2021,2,513601,36.0,-18.0,-2.0
2021,2,52-116-918-501,9.0,5.5,1.6363636363636365
2021,2,52-116-918-521,0.0,2.0,0.0
2021,2,52-116-920-501,7.0,-0.5,-14.0
2021,2,52-116-921-501,2.0,0.0,inf
2021,2,52-116-922-501,0.0,7.0,0.0
2021,2,52-116-923-501,1.0,1.5,0.6666666666666666
2021,2,52-116-926-501,5.0,2.5,2.0
2021,2,52-116-968-501,1.0,3.5,0.2857142857142857
2021,2,52-118-401-501,0.0,11.0,0.0
2021,2,52-123-957-501,1.0,0.5,2.0
2021,2,52-123-957-522,0.0,4.0,0.0
2021,2,52-128-321-501,0.0,13.0,0.0
2021,2,52-129-440-501,0.0,4.0,0.0
2021,2,52-129-475-501,1.0,-0.5,-2.0
2021,2,52-229-646-001,3.0,-1.5,-2.0
2021,2,52-233-501-001,0.0,5.0,0.0
2021,2,52-239-344-001,0.0,7.5,0.0
2021,2,52-239-562-001,18.0,-9.0,-2.0
2021,2,52-239-563-001,3.0,-1.5,-2.0
2021,2,52-239-566-001,10.0,-5.0,-2.0
2021,2,52-260-537-001,16.0,-8.0,-2.0
2021,2,52-261-521-001,0.0,10.0,0.0
2021,2,52-261-625-001,8.0,-4.0,-2.0
2021,2,52-324-015-084,0.0,2.5,0.0
2021,2,52-327-901-001,1.0,-0.5,-2.0
2021,2,52-362-269-001,18.0,-9.0,-2.0
2021,2,52-362-271-001,16.0,-8.0,-2.0
2021,2,52-362-317-001,5.0,-2.5,-2.0
2021,2,52-362-318-001,6.0,-3.0,-2.0
2021,2,52-362-322-001,1.0,-0.5,-2.0
2021,2,52-362-329-001,6.0,-3.0,-2.0
2021,2,52-362-332-001,12.0,-6.0,-2.0
2021,2,52-362-333-001,12.0,-6.0,-2.0
2021,2,52-362-387-001,0.0,7.5,0.0
2021,2,52-427-144-501,43.0,-21.5,-2.0
2021,2,52-427-145-501,5.0,-2.5,-2.0
2021,2,52-427-242-501,4.0,-2.0,-2.0
2021,2,52-427-243-501,6.0,-3.0,-2.0
2021,2,52-427-285-501,6.0,-3.0,-2.0
2021,2,52-427-362-501,0.0,2.5,0.0
2021,2,52-429-560-001,1.0,-0.5,-2.0
2021,2,52-460-761-501,0.0,2.0,0.0
2021,2,52-460-826-000,4.0,-2.0,-2.0
2021,2,52-461-395-001,0.0,50.0,0.0
2021,2,52-461-475-000,2.0,2.0,1.0
2021,2,52-461-827-501,1.0,-0.5,-2.0
2021,2,52-461-828-501,0.0,0.5,0.0
2021,2,52-462-482-501,19.0,-9.5,-2.0
2021,2,52-462-487-501,4.0,-2.0,-2.0
2021,2,52-462-491-501,27.0,-13.5,-2.0
2021,2,555036,0.0,10.0,0.0
2021,2,555038,0.0,17.0,0.0
2021,2,555039,5.0,5.0,1.0
2021,2,555075,20.0,-2.0,-10.0
2021,2,572651076,1.0,-0.5,-2.0
2021,2,707940240,26.0,-13.0,-2.0
2021,2,760186100,7.0,-3.5,-2.0
2021,2,760311729,2.0,-1.0,-2.0
2021,2,760382700,5.0,0.5,10.0
2021,2,7604B0049,8.0,-4.0,-2.0
2021,2,7604B0159,2.0,-1.0,-2.0
2021,2,760851440,1.0,-0.5,-2.0
2021,2,760913430,0.0,18.0,0.0
2021,2,761200510,14.0,-7.0,-2.0
2021,2,761200520,8.0,-2.0,-4.0
2021,2,761210120,6.0,-3.0,-2.0
2021,2,761911660,0.0,1.5,0.0
2021,2,761911670,0.0,0.5,0.0
2021,2,762290100,4.0,-2.0,-2.0
2021,2,762881010,62.0,-31.0,-2.0
2021,2,763380100,37.0,-18.5,-2.0
2021,2,763418130,1.0,-0.5,-2.0
2021,2,763418210,0.0,1.5,0.0
2021,2,763478060,43.0,-21.5,-2.0
2021,2,763871070,2.0,-1.0,-2.0
2021,2,765310200,8.0,-4.0,-2.0
2021,2,765350160,12.0,-6.0,-2.0
2021,2,765380010,14.0,-7.0,-2.0
2021,2,767780010,2.0,-1.0,-2.0
2021,2,768080170,79.0,-39.5,-2.0
2021,2,768081040,248.0,-124.0,-2.0
2021,2,768081180,79.0,-39.5,-2.0
2021,2,768560850,83.0,-41.5,-2.0
2021,2,769580070,39.0,-19.5,-2.0
2021,2,769580920,9.0,1.5,6.0
2021,2,769582630,12.0,-6.0,-2.0
2021,2,769582730,18.0,-9.0,-2.0
