item_number,hour,0
SM0755,5,6
SM0760,6,6
SM0744,10,6
P2002536,13,6
903578,11,6
P2002504,14,6
P2002542,10,6
SM0746,8,6
SM0740,5,6
P2002544,8,6
903576,5,6
SM0760,8,6
P2002512,13,6
P2002542,13,6
P2002496,8,6
SM0748,13,6
903575,11,6
P5003554,11,6
P2002866,7,6
P85255,5,6
AC0420,9,6
AC0306,11,6
AC0274,6,6
A07033,10,6
A03830,13,6
P85255,8,6
P2000676,5,6
903587,11,6
P85258,8,6
903586,9,6
P85266,6,6
903586,7,6
P2004632,14,6
P2004632,10,6
903585,12,6
AC0420,11,6
AC0480,12,6
P85286,4,6
P2004636,12,6
P41624,12,6
P41620,14,6
P82946,9,6
AC0732,6,6
P85018,6,6
P85075,13,6
P2004713,8,6
P2004705,11,6
P85238,8,6
P85242,5,6
P2004705,9,6
P2004696,8,6
P85250,7,6
P85250,11,6
P85250,13,6
P2004632,9,6
P85288,4,6
P2002866,12,6
SM0165,6,6
SM0706,10,6
SM0706,11,6
SM0707,6,6
903583,8,6
SM0708,10,6
SM0708,11,6
P2003472,6,6
SM0710,11,6
SM0710,12,6
P2002871,7,6
SM0712,5,6
P2002870,7,6
SM0714,5,6
P2002867,10,6
P2002867,8,6
SM0706,7,6
SM0001,11,6
P85288,14,6
P2003475,9,6
903585,9,6
P2004630,8,6
P2004626,9,6
P2004622,9,6
P2000678,8,6
P2004567,5,6
P85337,11,6
P2000680,7,6
P2000680,8,6
P86236,5,6
P2004565,11,6
P90523,13,6
P90532,7,6
P2004429,7,6
SM2094,7,6
SM2061,6,6
SM2235,6,6
P2002484,11,6
V1001203,11,6
V1000992,6,6
V1001001,5,6
V1001001,11,6
V1001005,11,6
P2001578,13,6
V1001055,6,6
52-460-769-212,6,6
P2001578,11,6
P2001577,9,6
V1001091,7,6
V1001091,9,6
V1001098,9,6
P2001337,12,6
V1001168,10,6
V1001188,11,6
P2001335,5,6
V1001203,10,6
52-460-769-214,9,6
52-460-808-501,5,6
52-460-808-501,8,6
P2001617,9,6
P2001621,11,6
V1000300,10,6
V1000300,11,6
V1000302,6,6
V1000914,7,6
P2001619,13,6
V1000929,11,6
52-462-491-501,6,6
V1000990,8,6
52-462-482-501,6,6
V1000938,11,6
V1000945,13,6
V1000974,7,6
V1000986,9,6
V1000986,13,6
52-461-827-501,8,6
52-460-769-017,6,6
V50811,6,6
SM2108,6,6
P2001152,7,6
P2000880,5,6
52-427-361-501,7,6
52-427-361-501,6,6
V51760,5,6
P2000874,5,6
V51767,5,6
V51767,13,6
P2000872,12,6
V51768,7,6
V51970,9,6
V51982,5,6
52-427-285-501,8,6
V59173,8,6
V59173,11,6
52-427-243-501,13,6
YD4500,9,6
YH4500,9,6
P2000884,7,6
V51758,12,6
V51758,8,6
P2001003,10,6
P2001125,12,6
V50817,6,6
V50832,6,6
V50832,11,6
P2001003,14,6
V50832,13,6
52-460-769-012,8,6
V50837,6,6
V50939,6,6
V50838,14,6
V50924,11,6
P2000911,5,6
52-460-769-007,8,6
P2000892,13,6
V50927,7,6
V50928,5,6
V1000296,13,6
V1000292,11,6
P2001630,8,6
P2001638,6,6
P2002463,9,6
772650797,5,6
772634153,10,6
772634153,6,6
SM2225,12,6
772634152,5,6
P2002444,10,6
P82888,5,6
P2000832,13,6
772615715,13,6
772615715,9,6
772615714,11,6
P2002422,9,6
P2002414,8,6
772240530,11,6
768560850,9,6
768560030,11,6
SM2222,8,6
7C0342490,6,6
SM2219,9,6
SM2116,12,6
7C8051060,7,6
7C8051030,9,6
P2002482,12,6
SM2110,6,6
SM2115,7,6
P2002471,11,6
7C1941020,10,6
SM2199,10,6
SM2216,5,6
SM2205,6,6
P2002469,6,6
7C1052510,7,6
7C1052500,10,6
P2002465,13,6
SM2211,5,6
P2002465,9,6
768560030,10,6
768560020,6,6
767780010,7,6
60A0B1003,7,6
P2001744,8,6
P2001744,6,6
60A0B3002,7,6
P2001741,7,6
60A0B1006,7,6
60A0B1006,6,6
60A0B1004,9,6
P2000844,7,6
60A0B6002,6,6
60A0B1003,6,6
P2001641,13,6
SM2309,11,6
P2001639,9,6
P2000844,8,6
SM2716,7,6
572651076,12,6
SM2271,11,6
SM2271,6,6
SM2251,11,6
760186150,11,6
P2002400,14,6
760913430,11,6
P2002396,12,6
SM2256,5,6
76068073B,11,6
76068071A,8,6
SM2256,8,6
760186090,6,6
P2002376,6,6
P2002396,11,6
60B0B1004,10,6
SM2256,12,6
SM2257,10,6
P2002394,4,6
P2002376,7,6
SM2269,14,6
P82929,6,6
P81334,11,6
P82646,5,6
DM2045,8,6
P6010322,6,6
G95806,5,6
P5001638,11,6
P6010361,11,6
P6010362,8,6
P6010363,7,6
P5001531,9,6
P5001509,10,6
P5001491,5,6
P6010319,6,6
P6010369,5,6
P5001482,10,6
P5001476,6,6
P5001434,8,6
DM2029,12,6
P6010443,21,6
DM2029,10,6
P5001431,13,6
G95787,10,6
P6010269,13,6
P6010142,7,6
DP0210,11,6
P6010168,10,6
P6010170,11,6
P6010198,12,6
P6010237,8,6
FM0027,5,6
P6010238,9,6
P6010241,6,6
P6010241,10,6
P6010241,11,6
P6010269,10,6
P6010251,8,6
P6010251,11,6
P5001647,5,6
P6010253,8,6
P6010253,9,6
FP0004,7,6
FP0005,7,6
P6010269,9,6
P6010467,11,6
P6010468,12,6
P5001428,10,6
P5001325,13,6
P6010980,6,6
P6010983,10,6
P6010983,11,6
P6010985,9,6
P6010990,9,6
P6011001,7,6
P6011002,6,6
P6011005,6,6
P6011015,21,6
P6010501,6,6
P6011019,12,6
P6011019,13,6
P5001307,11,6
P6011023,10,6
P6011026,13,6
G96838,9,6
P6011049,7,6
P6011053,8,6
P6010973,8,6
P6010973,7,6
DM1045,11,6
DM1060,6,6
P6010501,9,6
P6010514,6,6
P5001387,11,6
P6010536,6,6
P6010554,6,6
P6010554,7,6
P5001383,6,6
P6010880,10,6
P6010880,11,6
P6010909,10,6
P5001379,8,6
P5001363,6,6
P6010969,9,6
DM1119,7,6
DM1096,11,6
DM1096,6,6
P6010969,10,6
P6010168,6,6
P6010131,9,6
P2000034,8,6
P5004260,11,6
P5003623,10,6
P5003625,11,6
P5004257,7,6
P5004257,9,6
DR0614,7,6
P5004259,9,6
P5004259,12,6
DR0614,5,6
P5004269,12,6
P5003619,11,6
P5004297,11,6
P5004300,6,6
DR0612,9,6
P5004303,8,6
P5004347,7,6
P5002558,7,6
P5002555,10,6
DR0612,5,6
P5003621,11,6
P5003615,11,6
P6010130,7,6
DT0680,9,6
P5003562,10,6
P5003544,6,6
P5002636,9,6
P5003566,12,6
P5003570,7,6
DT0769,11,6
P5003572,10,6
P5003572,13,6
DT0680,4,6
P5003615,9,6
DT0798,9,6
P5003601,11,6
P5003602,8,6
P5002630,9,6
P5002624,11,6
P5003613,8,6
P5003613,10,6
P5003613,12,6
DR0610,13,6
P5002192,9,6
P5004638,7,6
P6010057,11,6
F88000,9,6
FK105A,7,6
P5001723,10,6
P5001718,7,6
P58729,12,6
P5001667,12,6
FM0025,6,6
P6010057,10,6
P6010088,5,6
P5004638,8,6
FM0025,7,6
P6010098,6,6
P6010099,13,6
P6010101,5,6
P6010101,12,6
DP1604,8,6
P6010110,6,6
P6010121,9,6
P5001751,9,6
P58493,9,6
DP3598,4,6
P58492,5,6
P5004639,5,6
52-427-243-501,6,6
DR0232,6,6
P5002171,9,6
P51540,6,6
P51540,7,6
P5002012,13,6
P5001854,13,6
P53046,9,6
P53046,11,6
P57151,8,6
P57151,9,6
P5001777,11,6
P57181,9,6
P57221,8,6
P57246,8,6
P5001755,10,6
P5001303,8,6
P6011144,13,6
P6011198,10,6
AC2607,10,6
AC6142,9,6
P5001075,13,6
P70939,12,6
P5001075,9,6
AC6113,9,6
P75606,12,6
P75612,7,6
AC6113,5,6
P75612,10,6
P70905,5,6
P76149,6,6
AC2607,7,6
AC2603,13,6
AC2602,11,6
P77101,5,6
AC2586,7,6
AC2555,6,6
AC2532,8,6
AC6142,10,6
AC6503,7,6
P6011199,10,6
P63244,8,6
P63233,6,6
P63235,6,6
AM3951500,11,6
AM2736900,10,6
P00352,7,6
P00352,8,6
AC8631,10,6
AC8480,11,6
AC8479,11,6
AC6503,9,6
AC8479,6,6
P63245,5,6
P63248,9,6
P63250,5,6
P00352,11,6
P00432,11,6
P70873,11,6
P5001108,7,6
AC2532,6,6
AC2464,10,6
P5001074,10,6
P81496,10,6
P5001010,5,6
P81354,8,6
P45730,13,6
P81487,5,6
P81487,12,6
P81488,5,6
P81488,10,6
AC1862,8,6
P81498,6,6
P77119,21,6
P45720,7,6
P44073,11,6
AC1856,13,6
P42546,9,6
AC1854,12,6
P82333,6,6
P42542,13,6
P41820,10,6
P5003554,13,6
P5001013,10,6
P81289,5,6
P79026,12,6
AC2416,9,6
P77171,6,6
P5001055,10,6
AC1871,9,6
P77179,14,6
P5001051,11,6
P5001024,13,6
P78802,5,6
AC1869,6,6
AC1868,9,6
P5001023,9,6
P78922,5,6
P78927,12,6
AC1866,10,6
P5001014,13,6
P79018,10,6
P5001013,12,6
P5001115,13,6
M28206,11,6
P6019596,10,6
P5001245,9,6
P6013042,8,6
P6013051,7,6
P6013132,10,6
P6013139,6,6
P6013448,6,6
DM0442,11,6
DM0442,7,6
P6013452,9,6
P6013462,8,6
P6014971,6,6
DM0401,10,6
P6013462,9,6
P6013466,8,6
P6013466,11,6
P6013466,14,6
P5001241,7,6
P5001240,11,6
P5001240,5,6
P6013033,11,6
P6012740,21,6
P2000864,5,6
P5001265,11,6
P6011347,7,6
P6011510,11,6
P6011548,13,6
P6011552,6,6
P6011552,8,6
P6011552,10,6
P5001295,7,6
P6012510,7,6
P6012510,9,6
P5001291,11,6
P6012547,9,6
P5001291,5,6
P6012642,11,6
P6012732,10,6
P5001272,11,6
P6012736,9,6
P5001270,6,6
P6014908,6,6
P5001231,13,6
M28206,10,6
AP0099,12,6
P6015549,6,6
AP3985,11,6
AP3985,8,6
P5001178,10,6
P6015551,11,6
AP0156,6,6
P6015674,8,6
P6015675,8,6
P6015702,8,6
P5001189,13,6
P6015703,8,6
P6015749,8,6
AP0043,11,6
P6015883,5,6
P6015883,11,6
P5001143,5,6
P6015982,8,6
P5001140,7,6
CM1102,8,6
P6015548,8,6
P5001185,6,6
P6015404,10,6
P5001186,6,6
P6015135,6,6
P6015251,8,6
P6015252,5,6
P6015255,9,6
DF0678,10,6
P6015276,13,6
P6015294,5,6
DF0678,6,6
P6015300,6,6
P6015308,7,6
P6015312,12,6
P6015347,11,6
M28177,9,6
DE0077,12,6
P5001185,8,6
P6015375,11,6
P5004639,13,6
YI4500,9,6
216790,13,6
179345,8,6
132204,6,6
132204,7,6
188556,6,6
52-362-318-001,8,6
104502,9,6
238475,6,6
175049,6,6
178645,10,6
178817,8,6
188555,6,6
132204,8,6
111049,10,6
132204,11,6
188554,10,6
230180,10,6
230180,8,6
111047,14,6
175015,11,6
115185,12,6
104501,12,6
184089,10,6
104312,15,6
107019,8,6
238040,11,6
175014,13,6
107018,13,6
231560,11,6
107018,6,6
115181,10,6
115181,11,6
175001,5,6
510824,8,6
104310,14,6
115184,12,6
104310,8,6
178487,9,6
112097,6,6
132206,12,6
112100,12,6
181836,6,6
52-362-322-001,8,6
238480,12,6
52-362-322-001,10,6
104600,10,6
228680,9,6
115122,13,6
179367,7,6
179345,10,6
103260LF,14,6
117404LF,12,6
175839,7,6
227040,10,6
179367,6,6
117104LF,11,6
52-116-917-501,11,6
175017,6,6
52-115-223-001,9,6
104800,8,6
103400,14,6
104302,11,6
230120,7,6
115187,10,6
175846,11,6
230120,5,6
52-229-647-001,10,6
169038,7,6
104301,14,6
178817,7,6
169038,6,6
175080,8,6
115124,11,6
103404,8,6
169035,11,6
238480,7,6
107019,12,6
231900,13,6
104313,11,6
188701,13,6
104459LF,12,6
188702,11,6
115178,10,6
104468LF,11,6
182198,9,6
175855,10,6
175056,6,6
175855,8,6
107020,10,6
235080,10,6
115179,4,6
175863,6,6
52-239-343-001,6,6
117414LF,4,6
182209,10,6
104471LF,12,6
52-362-268-001,10,6
235400,9,6
179185,6,6
52-360-905-001,11,6
117412LF,11,6
188703,10,6
52-239-343-001,11,6
188703,9,6
52-239-566-001,10,6
104462LF,10,6
175011,6,6
115178,9,6
117413LF,8,6
52-239-563-001,13,6
104462LF,7,6
513049,8,6
52-239-563-001,10,6
104468LF,7,6
52-239-563-001,8,6
182198,5,6
178656,13,6
175863,9,6
510936,12,6
115180,5,6
104500,7,6
52-362-271-001,9,6
110199LF,11,6
110199LF,12,6
510825,6,6
111031,10,6
52-261-625-001,10,6
52-239-571-001,10,6
107024,7,6
115175,10,6
233380,11,6
175004,9,6
115180,11,6
115174,11,6
182196,7,6
513622,8,6
104476LF,6,6
115179,5,6
175027,9,6
110197LF,12,6
104452LF,7,6
104452LF,5,6
104451LF,19,6
104450LF,19,6
117415LF,13,6
188701,7,6
117411LF,11,6
104478LF,7,6
110197LF,14,6
110198LF,6,6
110198LF,7,6
115176,9,6
104478LF,10,6
112119,7,6
175080,13,6
52-261-022-001,6,6
179363,9,6
178466,12,6
178518,10,6
115116,10,6
52-129-440-521,6,6
210619,7,6
178690,12,6
115115,9,6
178476,8,6
52-261-521-001,11,6
52-229-646-001,6,6
175022,7,6
178580,10,6
226260,10,6
115112,10,6
185110,5,6
179251,10,6
179361,13,6
185109,13,6
178466,5,6
52-362-332-001,11,6
08-105-173-065,6,6
210195,10,6
185109,9,6
185109,8,6
226700,7,6
185025,9,6
52-362-332-001,7,6
104606,10,6
178691,6,6
52-362-387-001,12,6
178707,5,6
245142,11,6
178707,11,6
245123,14,6
226220,8,6
175828,5,6
185118,10,6
175828,10,6
185117,10,6
117402LF,7,6
175025,13,6
210619,11,6
187202,12,6
185114,14,6
52-362-387-001,13,6
175829,12,6
175826,7,6
117401LF,8,6
115117,6,6
210619,10,6
178711,5,6
188418,8,6
188418,10,6
188418,11,6
52-219-923-515,8,6
175831,6,6
210619,9,6
115120,13,6
52-129-440-501,5,6
117106LF,13,6
179363,12,6
117105LF,7,6
178483,10,6
52-362-329-001,10,6
104602,6,6
226720,13,6
117105LF,11,6
113041,6,6
226740,12,6
227000,8,6
P63247,12,5
V1000290,13,5
P70939,9,5
117105LF,9,5
DM0457,11,5
P2001057,11,5
110192LF,13,5
P70960,8,5
182196,9,5
P5001051,8,5
110193LF,7,5
P2002463,12,5
110193LF,8,5
P85267,5,5
104609,13,5
P85286,3,5
P70939,13,5
AC2402,10,5
P5001108,6,5
P6010590,6,5
P5003619,10,5
P6011552,11,5
SM0747,13,5
115189,13,5
SM2270,7,5
P77101,7,5
763380100,12,5
P2001335,11,5
SM2269,12,5
107034,13,5
768081040,7,5
763380100,11,5
178656,8,5
115179,11,5
110190LF,9,5
110190LF,12,5
P77106,10,5
P5003613,6,5
P85268,10,5
P77109,8,5
V1000298,13,5
52-116-968-501,13,5
P2002471,12,5
P5001041,6,5
DM0401,9,5
P6011568,6,5
P6010142,11,5
DM0460,12,5
P2001005,6,5
110195LF,9,5
P63244,10,5
P6011348,7,5
P77119,12,5
117402LF,11,5
P6010130,12,5
P6011605,10,5
762871000,9,5
52-123-957-522,11,5
V1000292,13,5
P2004567,13,5
CM1102,6,5
768560850,10,5
P5003606,9,5
AC2432,10,5
V1000956,13,5
P6010131,7,5
7C9550100,9,5
V1000965,6,5
P6010675,7,5
P2000892,5,5
188703,13,5
763970600,11,5
P5001128,6,5
P6011020,6,5
DM0458,12,5
DM0459,7,5
110194LF,6,5
AC2459,6,5
110194LF,10,5
P5001024,11,5
V1000945,7,5
P5003621,7,5
P2002482,10,5
P85287,4,5
P2000892,11,5
115178,11,5
P5001024,10,5
P6011015,11,5
52-261-521-001,12,5
P6010142,9,5
178657,10,5
P77119,8,5
763970600,12,5
DM0460,10,5
P5003623,13,5
188709,7,5
P5003625,5,5
P6010594,5,5
DM0442,12,5
P7000109,7,5
P5003617,6,5
P75148,7,5
P2001147,6,5
175049,7,5
P2001146,13,5
178466,7,5
P70965,11,5
52-261-582-001,10,5
P6010131,10,5
767780020,9,5
P85265,8,5
P5003625,9,5
P75148,11,5
P6011049,6,5
P6011045,11,5
V1000929,5,5
P5004259,5,5
V1000929,6,5
SM2716,6,5
52-261-582-001,5,5
P5003625,14,5
P6011053,5,5
P5004257,6,5
763871010,7,5
P5004254,6,5
P5001075,8,5
175910,6,5
P5003619,6,5
175033,9,5
V1000914,6,5
P5003619,8,5
V1000914,10,5
P70873,7,5
178645,9,5
P5003617,11,5
SM2717,14,5
DF0678,12,5
P2001149,11,5
178463,9,5
SM2262,8,5
P5001111,9,5
P5004254,5,5
117107LF,11,5
P7000109,11,5
52-261-582-001,8,5
AC2465,5,5
175904,10,5
115183,7,5
P5004260,10,5
SM0747,7,5
P2001235,6,5
V1000288,10,5
182194,10,5
P75612,8,5
DM0456,7,5
P64150,4,5
178651,11,5
210618,12,5
P2001127,13,5
52-123-957-522,10,5
52-261-521-001,13,5
DM0456,13,5
P76149,11,5
V1000288,12,5
7C1252180,6,5
P2002465,7,5
P5001052,7,5
117107LF,14,5
P70962,13,5
P5003617,12,5
P75606,13,5
175053,10,5
AC2465,9,5
P5003615,10,5
V1000300,13,5
P5001055,11,5
AC2465,10,5
P75383,9,5
P2001165,12,5
V1000929,9,5
P2002480,10,5
P6010124,6,5
P2002467,9,5
178466,10,5
P6010590,10,5
P6010106,10,5
P85266,13,5
P5001053,13,5
DM0456,5,5
178642,7,5
V1000296,8,5
P70877,9,5
107019,9,5
115189,8,5
P6010660,11,5
SM0749,10,5
M28177,5,5
175056,8,5
AC2602,6,5
175834,8,5
SM0761,10,5
P6010889,6,5
P41820,11,5
P6010062,7,5
P41820,13,5
175836,5,5
P6010981,6,5
P81485,8,5
SM0761,6,5
AC8668,11,5
P57151,6,5
P2002408,7,5
182716,6,5
P57151,5,5
182717,10,5
P41780,12,5
P81357,5,5
P81486,14,5
175832,7,5
AC2606,6,5
AC2603,6,5
175832,11,5
AC8479,9,5
185025,7,5
175824,10,5
772634152,7,5
P81487,13,5
115120,5,5
175833,10,5
772634104,10,5
SM2168,6,5
175824,7,5
SM0762,5,5
175838,7,5
SM2202,8,5
772615714,6,5
SM0760,5,5
SM2208,10,5
P81290,9,5
AC8835,10,5
P81290,4,5
772615716,10,5
P53026,9,5
SM0759,12,5
175845,6,5
P2004628,14,5
175845,10,5
P79026,11,5
P43972,4,5
P50772,6,5
175845,11,5
P6010988,9,5
P53046,5,5
179267,10,5
175838,8,5
P81295,9,5
P6010981,9,5
P2001641,12,5
P42546,5,5
P2002408,8,5
SM2205,7,5
P42546,8,5
7C0449080,9,5
P6010887,6,5
P2001641,9,5
P85239,11,5
P81334,5,5
P85239,12,5
SM2208,7,5
115122,8,5
SM0760,7,5
P81488,14,5
P2004634,9,5
P57282,10,5
772762103,5,5
185117,7,5
P6010034,13,5
SM2106,5,5
185117,5,5
P82333,5,5
P58647,11,5
P82331,12,5
P58647,6,5
175829,9,5
P82329,12,5
SM2108,10,5
175830,9,5
185114,12,5
772662002,6,5
P58572,9,5
P58729,6,5
SM2105,10,5
P85166,8,5
P2004713,9,5
SM2081,10,5
P2004721,6,5
175827,9,5
SM2083,10,5
P2002396,13,5
P2004713,12,5
185141,7,5
7C0154040,10,5
P2004721,12,5
P82437,9,5
SM2093,5,5
115119,14,5
P2004738,10,5
772818941,7,5
SM2105,6,5
P2002402,9,5
P58572,6,5
P2004638,12,5
52-322-941-001,11,5
52-129-475-501,9,5
P2004636,10,5
AC6513,7,5
115113,11,5
115113,10,5
P41130,10,5
P81950,6,5
P81933,11,5
P6010045,6,5
P6010911,12,5
AC2607,6,5
P58493,12,5
P81497,12,5
P2001747,8,5
SM2120,8,5
185111,5,5
P58507,5,5
52-129-440-501,10,5
SM2115,8,5
P58511,11,5
P58511,10,5
P58511,7,5
P58511,6,5
P2002402,10,5
115116,12,5
SM2115,13,5
P85075,10,5
AC6142,6,5
P2002402,14,5
AC2608,6,5
178690,5,5
115115,11,5
P2004638,7,5
112099,9,5
115124,4,5
SM2262,5,5
SM2251,12,5
P2002444,7,5
7C1052510,8,5
772221421,11,5
P5001016,9,5
P5004617,9,5
SM2252,11,5
P5001016,12,5
P85249,10,5
182211,11,5
P6010880,7,5
188701,8,5
AP0156,9,5
P77277,15,5
175056,10,5
P77277,8,5
P6011002,7,5
110199LF,5,5
SM2254,9,5
110199LF,7,5
P85248,12,5
SM2247,12,5
P2001619,9,5
P2001619,5,5
SM2249,10,5
P5001013,9,5
P78725,5,5
110199LF,13,5
772230321,6,5
SM2250,13,5
P2002422,12,5
P2001617,12,5
P6011001,6,5
P5004629,11,5
175854,7,5
P77277,6,5
P2001601,12,5
P5004642,9,5
P2002461,8,5
P85254,5,5
182205,10,5
P6010101,11,5
P5004297,12,5
P6010101,13,5
SM2259,11,5
188703,6,5
SM0749,11,5
P5001021,14,5
P77171,9,5
P5004293,7,5
CM1100,8,5
P77171,8,5
P77139,13,5
SM2261,6,5
188702,9,5
P2002459,13,5
SM2255,9,5
P2002459,6,5
769582760,7,5
P77265,7,5
P5001019,5,5
188701,11,5
110197LF,10,5
110197LF,9,5
115178,4,5
110197LF,5,5
110196LF,13,5
SM2256,11,5
P85251,9,5
P77214,7,5
SM2257,8,5
P5001019,12,5
SM2257,11,5
P5004635,5,5
SM2247,9,5
111040,5,5
P2002414,9,5
188554,6,5
P5004639,6,5
111049,9,5
P6010088,7,5
P78985,9,5
7C064102B,11,5
P45720,10,5
7C064103B,5,5
SM0757,10,5
188555,10,5
AP0099,9,5
111047,13,5
115129,10,5
SM2228,9,5
772611246,5,5
P6010990,10,5
SM2222,10,5
175850,5,5
P5004639,10,5
SM2216,6,5
772615712,7,5
P79025,13,5
SM2216,9,5
115124,10,5
178662,11,5
P2004626,13,5
SM2219,8,5
112098,10,5
P6010087,8,5
SM2219,11,5
P85242,13,5
P2001630,16,5
179271,15,5
52-261-625-001,13,5
P2001625,4,5
7C064103B,10,5
179280,7,5
SM2232,9,5
P47950,10,5
P47950,11,5
111044,14,5
P85243,14,5
P5004636,12,5
P2002418,8,5
P2001621,13,5
P78803,5,5
175849,11,5
P78792,5,5
P2002418,10,5
P5001003,6,5
115174,10,5
SM2244,12,5
P5001010,11,5
P2002418,7,5
183523,8,5
P5004637,8,5
SM2238,5,5
P2001623,12,5
P78922,10,5
111047,5,5
P5004638,6,5
179280,9,5
179280,10,5
115170,6,5
772610734,5,5
772611207,7,5
SM2238,11,5
111046,10,5
P78922,9,5
P6010088,11,5
7C065103B,5,5
110197LF,11,5
185119,11,5
P5001140,8,5
52-461-827-501,5,5
P6013132,11,5
V51756,11,5
P5001479,10,5
P6013133,10,5
104310,12,5
903590,10,5
104310,4,5
178508,13,5
P2003476,9,5
510762,5,5
903591,6,5
V51757,13,5
52-461-395-001,13,5
P6010444,12,5
SM0709,11,5
P6015375,7,5
52-239-563-001,5,5
238040,10,5
V50928,9,5
175001,13,5
52-462-482-501,13,5
104313,7,5
P5001434,13,5
EE0147,6,5
P5001844,11,5
175001,7,5
P2000659,11,5
P2000658,11,5
P2000658,9,5
P6015375,13,5
52-462-165-501,8,5
P6013105,10,5
P6010253,6,5
P2000655,9,5
P6013136,7,5
P2000034,7,5
P6013139,13,5
P6013142,6,5
SM0706,8,5
169038,5,5
P6010264,6,5
P2000034,9,5
52-460-769-216,12,5
178817,11,5
P6010264,10,5
178733,10,5
169035,9,5
V51766,6,5
P2003151,13,5
509101,10,5
178515,7,5
P6013139,12,5
P5001493,10,5
P6010443,13,5
104303,9,5
P6013139,7,5
178515,6,5
V51759,8,5
P5001831,11,5
P6010444,6,5
178817,9,5
P5001491,6,5
52-460-808-501,11,5
178817,10,5
V51759,5,5
SM0708,5,5
V51758,13,5
V50928,7,5
P6010241,13,5
P5002000,8,5
117414LF,12,5
180729,8,5
512027,11,5
512027,9,5
117414LF,9,5
52-362-269-001,11,5
52-362-269-001,12,5
P6015426,7,5
P6013042,6,5
DT0680,6,5
P5002173,9,5
117415LF,12,5
P2000683,11,5
P2000683,9,5
V50922,6,5
512620,5,5
512620,7,5
52-362-269-001,6,5
P5001383,11,5
V50837,5,5
P6015548,12,5
P6013015,10,5
P86132,13,5
AC1856,9,5
P2002512,12,5
P2002512,8,5
P6015550,11,5
P2000721,5,5
P5001379,6,5
104459LF,8,5
104459LF,13,5
104459LF,14,5
V50922,7,5
P6015420,8,5
P6015394,11,5
DT0797,9,5
SM0711,8,5
P5001428,14,5
P6013051,12,5
104318,13,5
510824,15,5
P5001431,11,5
P6013078,8,5
P6010466,10,5
132200,12,5
DT0798,6,5
P2000678,10,5
238040,7,5
P6010241,12,5
52-462-487-501,13,5
52-362-271-001,12,5
P5001428,6,5
DT0772,14,5
P6013051,10,5
117678LF,9,5
P6010238,8,5
P6015418,8,5
P2000680,11,5
V50925,12,5
555039,13,5
P6010448,7,5
P2000680,13,5
52-116-921-501,9,5
104328,8,5
SM0712,12,5
V50924,12,5
P5002083,10,5
P2000011,11,5
P2000010,10,5
FM0025,11,5
52-460-761-501,10,5
M99076,6,5
G96838,12,5
M99073,11,5
SM0001,8,5
P5001635,9,5
P6014923,6,5
P6010367,8,5
P5001638,8,5
52-460-761-501,8,5
P6014926,7,5
P5001755,11,5
P6010340,9,5
52-460-745-501,13,5
52-460-745-501,12,5
SM0001,7,5
AC0480,13,5
P6014902,11,5
P5001767,9,5
P6014902,10,5
V59173,9,5
P2002591,14,5
V59173,5,5
178518,9,5
52-239-347-001,11,5
P6014899,9,5
V59171,11,5
V59171,10,5
P2002868,10,5
G96819,5,5
P6014851,9,5
P6010370,6,5
52-460-745-501,10,5
P6010367,5,5
52-362-333-001,6,5
M28099,13,5
178776,5,5
52-427-144-501,5,5
245123,10,5
P5001688,6,5
P2002864,12,5
P5001688,10,5
P6014971,10,5
52-460-745-501,7,5
M28177,11,5
P5001702,13,5
P5001697,10,5
P2002864,5,5
P6010361,7,5
M28101,14,5
P6010363,11,5
P6014949,6,5
M1000232,10,5
P5001726,9,5
P6010363,13,5
M1000232,6,5
P6014946,6,5
M72555,4,5
P5001667,6,5
P5001748,6,5
M1000230,13,5
P6010365,8,5
P6015047,11,5
P5001748,8,5
52-460-715-501,7,5
52-460-715-501,10,5
P6014939,11,5
178580,11,5
52-460-769-012,11,5
V51767,9,5
178814,8,5
R02940,10,5
P6010375,6,5
FP0002,10,5
P6013456,12,5
P2002544,13,5
P5001527,12,5
P5001528,11,5
52-460-769-018,7,5
P00220,13,5
P6015262,12,5
P2002871,6,5
52-460-769-018,11,5
P5001530,6,5
P6010268,13,5
178815,6,5
A07034,13,5
P03429,7,5
V51768,13,5
52-460-769-021,11,5
AC0734,11,5
AC0734,12,5
P03560,11,5
FM0027,7,5
P6015270,11,5
P6010375,9,5
52-362-322-001,11,5
P6010376,7,5
52-460-769-210,9,5
P2003151,6,5
P6010267,13,5
P6013424,6,5
P6013457,5,5
52-362-329-001,11,5
P5001781,7,5
P6013658,10,5
52-460-769-015,8,5
08-105-687-059,10,5
AC0730,12,5
52-239-345-001,10,5
M99345,8,5
P2002869,12,5
P6013658,11,5
P00220,8,5
P5001545,9,5
G95807,8,5
P5001545,10,5
52-460-769-013,9,5
R18410,6,5
G95807,11,5
P6015257,7,5
178810,8,5
G95787,5,5
V51970,5,5
P2002870,5,5
P2002870,6,5
P6013469,13,5
178592,9,5
P2002870,9,5
P6015261,5,5
G92848,7,5
52-460-769-017,7,5
52-362-329-001,13,5
52-460-769-017,10,5
178611,6,5
52-362-329-001,12,5
52-460-769-017,13,5
P2002510,12,5
V50925,9,5
SM0722,9,5
P6019596,12,5
DM2010,12,5
P6010165,11,5
DM2045,4,5
117411LF,4,5
P2000880,8,5
178635,8,5
