year_month,item_number,cumulative_lpns
2021-02,P2002414,3.0
2021-02,P2002422,7.0
2021-02,P2002444,-2.0
2021-02,P2002459,0.0
2021-02,P2002461,1.0
2021-02,P2002463,3.0
2021-02,P2002465,2.0
2021-02,P2002467,1.0
2021-02,P2002469,3.0
2021-02,P2002484,19.0
2021-02,P2002522,1.0
2021-02,P2002591,0.0
2021-02,P2002629,1.0
2021-02,P2003151,1.0
2021-02,P2003328,1.0
2021-02,P2003472,3.0
2021-02,P2003474,0.0
2021-02,P2004413,4.0
2021-02,P2004415,4.0
2021-02,P2004421,4.0
2021-02,P2004438,2.0
2021-02,P41100,-2.0
2021-02,P41780,2.0
2021-02,P42542,6.0
2021-02,P43972,6.0
2021-02,P44081,12.0
2021-02,P45730,2.0
2021-02,P47800,0.0
2021-02,P5001024,1.0
2021-02,P5001185,2.0
2021-02,P5001231,1.0
2021-02,P5001245,1.0
2021-02,P5001291,6.0
2021-02,P5001299,1.0
2021-02,P5001307,4.0
2021-02,P5001319,8.0
2021-02,P5001476,6.0
2021-02,P5001482,4.0
2021-02,P5001528,2.0
2021-02,P5001700,2.0
2021-02,P5001718,0.0
2021-02,P5001723,2.0
2021-02,P5001748,0.0
2021-02,P5001751,2.0
2021-02,P5001770,3.0
2021-02,P5001781,4.0
2021-02,P5002427,1.0
2021-02,P5002513,1.0
2021-02,P5002558,1.0
2021-02,P5002561,2.0
2021-02,P5002633,2.0
2021-02,P5003175,3.0
2021-02,P5003544,2.0
2021-02,P5003552,1.0
2021-02,P5003554,3.0
2021-02,P5003617,1.0
2021-02,P5003623,6.0
2021-02,P5003625,1.0
2021-02,P5004254,2.0
2021-02,P5004259,-1.0
2021-02,P5004260,-1.0
2021-02,P5004266,4.0
2021-02,P5004269,5.0
2021-02,P5004272,6.0
2021-02,P5004279,0.0
2021-02,P5004283,1.0
2021-02,P5004290,2.0
2021-02,P5004297,3.0
2021-02,P5004300,4.0
2021-02,P5004303,6.0
2021-02,P58729,10.0
2021-02,P6010097,1.0
2021-02,P6010098,-2.0
2021-02,P6010099,1.0
2021-02,P6010101,-3.0
2021-02,P6010108,1.0
2021-02,P6010110,1.0
2021-02,P6010121,1.0
2021-02,P6010130,0.0
2021-02,P6010131,2.0
2021-02,P6010142,1.0
2021-02,P6010144,1.0
2021-02,P6010148,1.0
2021-02,P6010211,2.0
2021-02,P6010319,1.0
2021-02,P6010322,1.0
2021-02,P6010347,1.0
2021-02,P6010350,1.0
2021-02,P6010361,0.0
2021-02,P6010362,-1.0
2021-02,P6010370,1.0
2021-02,P6010373,1.0
2021-02,P6010375,1.0
2021-02,P6010443,6.0
2021-02,P6010448,2.0
2021-02,P6010468,5.0
2021-02,P6010493,0.0
2021-02,P6010512,2.0
2021-02,P6010520,2.0
2021-02,P6010536,1.0
2021-02,P6010542,1.0
2021-02,P6010554,8.0
2021-02,P6010580,0.0
