year,quarter,month,item_number,received_qty,shipped_qty,turnover_rate
2021,1,1,V1001046,6.0,0.0,0.0
2021,1,1,V1001098,10.0,0.0,0.0
2021,1,1,V1001188,4.0,0.0,0.0
2021,1,1,V1001198,2.0,0.0,0.0
2021,1,1,V1001203,3.0,0.0,0.0
2021,1,1,V51673,1750.0,0.0,0.0
2021,1,2,08-111-626-501,1.0,2.0,2.0
2021,1,2,103251,1008.0,0.0,0.0
2021,1,2,103252LF,720.0,0.0,0.0
2021,1,2,103255LF,144.0,0.0,0.0
2021,1,2,103257LF,288.0,0.0,0.0
2021,1,2,103258LF,288.0,0.0,0.0
2021,1,2,103260LF,288.0,0.0,0.0
2021,1,2,103350,432.0,0.0,0.0
2021,1,2,103400,600.0,0.0,0.0
2021,1,2,104300,8.0,0.0,0.0
2021,1,2,104302,7.0,11.0,1.5714285714285714
2021,1,2,104303,3.0,0.0,0.0
2021,1,2,104306,10.0,36.0,3.6
2021,1,2,104308,72.0,36.0,0.5
2021,1,2,104309,12.0,42.0,3.5
2021,1,2,104310,24.0,0.0,0.0
2021,1,2,104312,5.0,8.0,1.6
2021,1,2,104313,3.0,1.0,0.3333333333333333
2021,1,2,104318,48.0,40.0,0.8333333333333334
2021,1,2,104321,31.0,10.0,0.3225806451612903
2021,1,2,104323,16.0,0.0,0.0
2021,1,2,104450LF,96.0,16.0,0.16666666666666666
2021,1,2,104452LF,24.0,0.0,0.0
2021,1,2,104453LF,13.0,0.0,0.0
2021,1,2,104456LF,10.0,0.0,0.0
2021,1,2,104459LF,4.0,4.0,1.0
2021,1,2,104460LF,10.0,2.0,0.2
2021,1,2,104463LF,2.0,0.0,0.0
2021,1,2,104465LF,15.0,3.0,0.2
2021,1,2,104478LF,4.0,2.0,0.5
2021,1,2,106507,144.0,0.0,0.0
2021,1,2,115104,152.0,72.0,0.47368421052631576
2021,1,2,115111,120.0,30.0,0.25
2021,1,2,115112,56.0,46.0,0.8214285714285714
2021,1,2,115113,31.0,0.0,0.0
2021,1,2,115114,36.0,72.0,2.0
2021,1,2,115118,162.0,12.0,0.07407407407407407
2021,1,2,115119,108.0,126.0,1.1666666666666667
2021,1,2,115120,36.0,54.0,1.5
2021,1,2,115122,20.0,40.0,2.0
2021,1,2,115124,20.0,40.0,2.0
2021,1,2,115125,40.0,62.0,1.55
2021,1,2,115127,10.0,32.0,3.2
2021,1,2,115128,24.0,0.0,0.0
2021,1,2,115129,16.0,4.0,0.25
2021,1,2,115174,36.0,0.0,0.0
2021,1,2,115177,36.0,0.0,0.0
2021,1,2,115180,18.0,24.0,1.3333333333333333
2021,1,2,115181,10.0,10.0,1.0
2021,1,2,115182,30.0,30.0,1.0
2021,1,2,115188,52.0,12.0,0.23076923076923078
2021,1,2,185141,1080.0,0.0,0.0
2021,1,2,210618,1080.0,0.0,0.0
2021,1,2,210619,1080.0,0.0,0.0
2021,1,2,216790,800.0,0.0,0.0
2021,1,2,231820,400.0,0.0,0.0
2021,1,2,245005,300.0,0.0,0.0
2021,1,2,245122,800.0,0.0,0.0
2021,1,2,245592,150.0,0.0,0.0
2021,1,2,246271,1600.0,0.0,0.0
2021,1,2,52-116-918-501,12.0,9.0,0.75
2021,1,2,52-116-918-521,4.0,0.0,0.0
2021,1,2,52-116-920-501,6.0,7.0,1.1666666666666667
2021,1,2,52-116-921-501,2.0,2.0,1.0
2021,1,2,52-116-922-501,14.0,0.0,0.0
2021,1,2,52-116-923-501,4.0,1.0,0.25
2021,1,2,52-116-926-501,2.0,5.0,2.5
2021,1,2,52-118-401-501,22.0,0.0,0.0
2021,1,2,52-123-957-501,10.0,1.0,0.1
2021,1,2,52-123-957-522,4.0,0.0,0.0
2021,1,2,52-128-321-501,26.0,0.0,0.0
2021,1,2,52-129-440-501,8.0,0.0,0.0
2021,1,2,52-239-344-001,15.0,0.0,0.0
2021,1,2,52-261-521-001,20.0,0.0,0.0
2021,1,2,52-324-015-084,5.0,0.0,0.0
2021,1,2,52-362-387-001,15.0,0.0,0.0
2021,1,2,52-460-761-501,4.0,0.0,0.0
2021,1,2,52-461-395-001,100.0,0.0,0.0
2021,1,2,52-461-475-000,2.0,2.0,1.0
2021,1,2,52-461-828-501,1.0,0.0,0.0
2021,1,2,555036,20.0,0.0,0.0
2021,1,2,555038,34.0,0.0,0.0
2021,1,2,555039,15.0,5.0,0.3333333333333333
2021,1,2,555075,32.0,20.0,0.625
2021,1,2,760382700,6.0,5.0,0.8333333333333334
2021,1,2,760913430,36.0,0.0,0.0
2021,1,2,761200520,4.0,8.0,2.0
2021,1,2,761911670,1.0,0.0,0.0
2021,1,2,769580920,12.0,9.0,0.75
2021,1,2,7C0154150,6.0,0.0,0.0
2021,1,2,7C0342530,3.0,3.0,1.0
2021,1,2,7C0455130,3.0,0.0,0.0
2021,1,2,7C064101A,36.0,94.0,2.611111111111111
2021,1,2,7C0851370,3.0,0.0,0.0
2021,1,2,7C8051020,10.0,1.0,0.1
2021,1,2,A07033,25.0,0.0,0.0
2021,1,2,AC0420,11.0,2.0,0.18181818181818182
2021,1,2,AC1859,1.0,0.0,0.0
2021,1,2,AC1860,8.0,2.0,0.25
2021,1,2,AC1863,12.0,4.0,0.3333333333333333
2021,1,2,AC1864,6.0,5.0,0.8333333333333334
2021,1,2,AC1867,4.0,7.0,1.75
2021,1,2,AC1868,4.0,1.0,0.25
2021,1,2,AC1869,4.0,5.0,1.25
2021,1,2,AC1871,4.0,4.0,1.0
2021,1,2,AC2522,10.0,0.0,0.0
2021,1,2,AC2532,10.0,4.0,0.4
2021,1,2,AC2603,4.0,0.0,0.0
2021,1,2,AC6034,5.0,0.0,0.0
2021,1,2,AC6113,99.0,110.0,1.1111111111111112
2021,1,2,AC8345,2.0,0.0,0.0
2021,1,2,AC8480,4.0,2.0,0.5
2021,1,2,AP0144,3.0,0.0,0.0
2021,1,2,DB0113,1.0,2.0,2.0
2021,1,2,DP0780,2.0,0.0,0.0
2021,1,2,DR0612,56.0,39.0,0.6964285714285714
2021,1,2,DT0766,10.0,3.0,0.3
2021,1,2,DT0769,5.0,0.0,0.0
2021,1,2,DT0772,36.0,23.0,0.6388888888888888
2021,1,2,FJ872A,1.0,1.0,1.0
2021,1,2,M28099,4032.0,0.0,0.0
2021,1,2,M28177,1008.0,0.0,0.0
2021,1,2,P2000011,25.0,0.0,0.0
2021,1,2,P2000034,80.0,5.0,0.0625
2021,1,2,P2000656,10.0,0.0,0.0
2021,1,2,P2000658,5.0,3.0,0.6
2021,1,2,P2000676,4.0,1.0,0.25
2021,1,2,P2000677,4.0,1.0,0.25
2021,1,2,P2000848,30.0,0.0,0.0
2021,1,2,P2000852,36.0,0.0,0.0
2021,1,2,P2000872,24.0,0.0,0.0
2021,1,2,P2000890,20.0,12.0,0.6
2021,1,2,P2001155,8.0,0.0,0.0
2021,1,2,P2001337,350.0,0.0,0.0
2021,1,2,P2001391,4.0,0.0,0.0
2021,1,2,P2001575,180.0,0.0,0.0
2021,1,2,P2001576,30.0,0.0,0.0
2021,1,2,P2002376,100.0,0.0,0.0
2021,1,2,P2002402,8.0,0.0,0.0
