item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104468LF,2023-06-30 00:00:00,18.0,2023Q2,2023-06-30 00:00:00,10.0,0.5555555555555556,0.3684210526315789
104468LF,2023-09-30 00:00:00,6.0,2023Q3,2023-09-30 00:00:00,4.0,0.6666666666666666,0.5555555555555556
104471LF,2021-06-30 00:00:00,4.0,2021Q2,0,0.0,0.0,
104471LF,2021-09-30 00:00:00,20.0,2021Q3,2021-09-30 00:00:00,20.0,1.0,0.0
104471LF,2021-12-31 00:00:00,19.0,2021Q4,2021-12-31 00:00:00,40.0,2.1052631578947367,1.0
104471LF,2022-03-31 00:00:00,13.0,2022Q1,2022-03-31 00:00:00,9.0,0.6923076923076923,2.1052631578947367
104471LF,2022-06-30 00:00:00,36.0,2022Q2,2022-06-30 00:00:00,29.0,0.8055555555555556,0.6923076923076923
104471LF,2022-09-30 00:00:00,57.0,2022Q3,2022-09-30 00:00:00,56.0,0.9824561403508771,0.8055555555555556
104471LF,2022-12-31 00:00:00,74.0,2022Q4,2022-12-31 00:00:00,9.0,0.12162162162162163,0.9824561403508771
104471LF,2023-03-31 00:00:00,5.0,2023Q1,2023-03-31 00:00:00,25.0,5.0,0.12162162162162163
104471LF,2023-09-30 00:00:00,16.0,2023Q3,2023-09-30 00:00:00,45.0,2.8125,5.0
104473LF,2022-09-30 00:00:00,1.0,2022Q3,0,0.0,0.0,
104473LF,2023-03-31 00:00:00,1.0,2023Q1,2023-03-31 00:00:00,2.0,2.0,0.0
104473LF,2023-06-30 00:00:00,1.0,2023Q2,2023-06-30 00:00:00,1.0,1.0,2.0
104473LF,2023-09-30 00:00:00,2.0,2023Q3,2023-09-30 00:00:00,2.0,1.0,1.0
104476LF,2021-06-30 00:00:00,10.0,2021Q2,2021-06-30 00:00:00,5.0,0.5,
104476LF,2021-09-30 00:00:00,19.0,2021Q3,2021-09-30 00:00:00,28.0,1.4736842105263157,0.5
104476LF,2021-12-31 00:00:00,16.0,2021Q4,2021-12-31 00:00:00,22.0,1.375,1.4736842105263157
104476LF,2022-03-31 00:00:00,36.0,2022Q1,2022-03-31 00:00:00,23.0,0.6388888888888888,1.375
104476LF,2022-06-30 00:00:00,34.0,2022Q2,2022-06-30 00:00:00,3.0,0.08823529411764706,0.6388888888888888
104476LF,2022-09-30 00:00:00,11.0,2022Q3,2022-09-30 00:00:00,18.0,1.6363636363636365,0.08823529411764706
104476LF,2022-12-31 00:00:00,4.0,2022Q4,2022-12-31 00:00:00,7.0,1.75,1.6363636363636365
104476LF,2023-03-31 00:00:00,1.0,2023Q1,2023-03-31 00:00:00,26.0,26.0,1.75
104476LF,2023-06-30 00:00:00,9.0,2023Q2,2023-06-30 00:00:00,7.0,0.7777777777777778,26.0
104476LF,2023-09-30 00:00:00,26.0,2023Q3,2023-09-30 00:00:00,13.0,0.5,0.7777777777777778
