year,item_number,received_qty,shipped_qty,turnover_rate
2021,175855,25.0,38.0,1.52
2021,175856,9.0,14.0,1.5555555555555556
2021,175857,5.0,7.0,1.4
2021,175858,9.0,6.0,0.6666666666666666
2021,175859,9.0,14.0,1.5555555555555556
2021,175861,11.0,9.0,0.8181818181818182
2021,175862,9.0,3.0,0.3333333333333333
2021,175863,65.0,69.0,1.0615384615384615
2021,175904,8.0,11.0,1.375
2021,175909,3.0,1.0,0.3333333333333333
2021,175910,4.0,5.0,1.25
2021,178442,7.0,6.0,0.8571428571428571
2021,178443,12.0,11.0,0.9166666666666666
2021,178446,10.0,3.0,0.3
2021,178458,2.0,0.0,0.0
2021,178466,31.0,37.0,1.1935483870967742
2021,178473,51.0,65.0,1.2745098039215685
2021,178476,13.0,16.0,1.2307692307692308
2021,178487,13.0,22.0,1.6923076923076923
2021,178490,18.0,20.0,1.1111111111111112
2021,178505,5.0,2.0,0.4
2021,178508,43.0,60.0,1.3953488372093024
2021,178515,8.0,5.0,0.625
2021,178518,40.0,48.0,1.2
2021,178580,6.0,12.0,2.0
2021,178635,13.0,11.0,0.8461538461538461
2021,178641,64.0,73.0,1.140625
2021,178642,14.0,16.0,1.1428571428571428
2021,178645,8.0,3.0,0.375
2021,178651,9.0,10.0,1.1111111111111112
2021,178656,52.0,76.0,1.4615384615384615
2021,178657,5.0,3.0,0.6
2021,178661,1.0,0.0,0.0
2021,178662,10.0,12.0,1.2
2021,178671,85.0,128.0,1.5058823529411764
2021,178672,16.0,21.0,1.3125
2021,178690,83.0,78.0,0.9397590361445783
2021,178691,14.0,18.0,1.2857142857142858
2021,178707,44.0,50.0,1.1363636363636365
2021,178718,5.0,4.0,0.8
2021,178733,4.0,4.0,1.0
2021,178773,13.0,16.0,1.2307692307692308
2021,178817,17.0,25.0,1.4705882352941178
2021,178882,2.0,1.0,0.5
2021,178885,2.0,2.0,1.0
2021,179182,2.0,2.0,1.0
2021,179249,2.0,0.0,0.0
2021,179255,1.0,0.0,0.0
2021,179258,1.0,2.0,2.0
2021,179269,2.0,2.0,1.0
2021,179271,16.0,19.0,1.1875
2021,179280,11.0,16.0,1.4545454545454546
2021,179282,11.0,9.0,0.8181818181818182
2021,179316,2.0,2.0,1.0
2021,179323,4.0,0.0,0.0
2021,179345,7.0,8.0,1.1428571428571428
2021,179352,1.0,1.0,1.0
2021,179354,3.0,1.0,0.3333333333333333
2021,179356,15.0,19.0,1.2666666666666666
2021,179359,45.0,56.0,1.2444444444444445
2021,179361,54.0,54.0,1.0
2021,179363,35.0,41.0,1.1714285714285715
2021,179365,2.0,0.0,0.0
2021,179367,23.0,24.0,1.0434782608695652
2021,180164,2.0,2.0,1.0
2021,180228,1.0,0.0,0.0
2021,180254,5.0,0.0,0.0
2021,180679,1.0,1.0,1.0
2021,180710,2.0,2.0,1.0
2021,180781,4.0,3.0,0.75
2021,180837,1.0,1.0,1.0
2021,181876,14.0,13.0,0.9285714285714286
2021,181885,5.0,6.0,1.2
2021,181891,22.0,28.0,1.2727272727272727
2021,181897,1.0,2.0,2.0
2021,181909,2.0,0.0,0.0
2021,181915,3.0,0.0,0.0
2021,182190,1.0,1.0,1.0
2021,182192,2.0,1.0,0.5
2021,182196,21.0,35.0,1.6666666666666667
2021,182198,30.0,41.0,1.3666666666666667
2021,182205,29.0,32.0,1.103448275862069
2021,182211,21.0,28.0,1.3333333333333333
2021,182216,1.0,1.0,1.0
2021,182220,2.0,0.0,0.0
2021,182222,4.0,0.0,0.0
2021,182226,2.0,1.0,0.5
2021,182257,2.0,2.0,1.0
2021,183299,4.0,0.0,0.0
2021,183515,2.0,2.0,1.0
2021,183517,8.0,9.0,1.125
2021,183532,2.0,0.0,0.0
2021,183563,2.0,1.0,0.5
2021,183577,1.0,0.0,0.0
2021,184001,2.0,0.0,0.0
2021,184009,1.0,2.0,2.0
2021,184065,2.0,4.0,2.0
2021,184105,3.0,0.0,0.0
2021,184429,2.0,0.0,0.0
2021,184441,1.0,0.0,0.0
2021,184480,2.0,0.0,0.0
2021,184743,3.0,3.0,1.0
2021,184752,1.0,0.0,0.0
2021,185022,1200.0,715.0,0.5958333333333333
2021,185025,6480.0,5616.0,0.8666666666666667
2021,185108,135.0,168.0,1.2444444444444445
2021,185109,70.0,88.0,1.2571428571428571
2021,185110,79.0,112.0,1.4177215189873418
2021,185111,103.0,144.0,1.3980582524271845
2021,185112,69.0,100.0,1.4492753623188406
2021,185113,55.0,43.0,0.7818181818181819
2021,185114,64.0,90.0,1.40625
2021,185115,60.0,76.0,1.2666666666666666
2021,185116,53.0,73.0,1.3773584905660377
2021,185117,24.0,16.0,0.6666666666666666
2021,185118,36.0,24.0,0.6666666666666666
2021,185119,22.0,35.0,1.5909090909090908
2021,185141,4968.0,3624.0,0.7294685990338164
2021,185143,2160.0,1372.0,0.6351851851851852
2021,187202,1031.0,648.0,0.6285160038797284
2021,188418,26.0,28.0,1.0769230769230769
2021,188426,2.0,1.0,0.5
2021,188431,4.0,0.0,0.0
2021,188432,1.0,0.0,0.0
2021,188433,2.0,0.0,0.0
2021,188553,2.0,2.0,1.0
2021,188554,13.0,23.0,1.7692307692307692
2021,188555,7.0,13.0,1.8571428571428572
2021,188556,10.0,13.0,1.3
2021,188557,18.0,16.0,0.8888888888888888
2021,188559,7.0,9.0,1.2857142857142858
2021,188562,3.0,3.0,1.0
2021,188563,1.0,0.0,0.0
2021,188701,40.0,57.0,1.425
2021,188702,19.0,29.0,1.5263157894736843
2021,188703,72.0,86.0,1.1944444444444444
2021,188709,1.0,1.0,1.0
2021,209085,869.0,0.0,0.0
2021,210195,1917.0,1506.0,0.7856025039123631
2021,210321,4000.0,0.0,0.0
2021,210590,388.0,80.0,0.20618556701030927
2021,210618,11566.0,7292.0,0.6304686149057582
2021,210619,14940.0,4980.0,0.3333333333333333
2021,216790,8160.0,5660.0,0.6936274509803921
2021,226220,219.0,34.0,0.1552511415525114
2021,226240,386.0,969.0,2.510362694300518
2021,226260,505.0,203.0,0.401980198019802
2021,226280,840.0,770.0,0.9166666666666666
2021,226700,250.0,14.0,0.056
2021,226720,1084.0,918.0,0.8468634686346863
2021,226740,728.0,686.0,0.9423076923076923
2021,227000,126.0,120.0,0.9523809523809523
2021,227040,120.0,92.0,0.7666666666666667
2021,228680,440.0,655.0,1.4886363636363635
2021,228700,2846.0,3332.0,1.1707659873506675
2021,230080,1152.0,1656.0,1.4375
2021,230120,1042.0,1210.0,1.161228406909789
2021,230180,1838.0,1954.0,1.0631120783460284
2021,230440,1350.0,0.0,0.0
2021,230800,268.0,309.0,1.1529850746268657
2021,231560,2585.0,3100.0,1.1992263056092842
2021,231610,30.0,30.0,1.0
2021,231820,4800.0,2088.0,0.435
2021,231900,3134.0,3459.0,1.1037013401403957
2021,231940,2179.0,1226.0,0.56264341441028
2021,233380,1080.0,3195.0,2.9583333333333335
2021,235061,2366.0,1767.0,0.7468300929839391
2021,235080,1194.0,1024.0,0.8576214405360134
2021,235400,338.0,322.0,0.9526627218934911
2021,235861,1896.0,144.0,0.0759493670886076
2021,235941,5040.0,5100.0,1.0119047619047619
2021,236761,6368.0,2992.0,0.46984924623115576
2021,238020,517.0,446.0,0.8626692456479691
2021,238030,4.0,2.0,0.5
2021,238040,2209.0,450.0,0.2037120869171571
2021,238480,600.0,600.0,1.0
2021,239600,2520.0,3864.0,1.5333333333333334
2021,241160,1239.0,1146.0,0.9249394673123487
2021,245005,1380.0,1012.0,0.7333333333333333
2021,245105,481.0,646.0,1.343035343035343
2021,245122,5020.0,2920.0,0.5816733067729084
2021,245123,341.0,371.0,1.0879765395894427
2021,245142,1000.0,527.0,0.527
2021,245403,640.0,0.0,0.0
2021,245404,324.0,0.0,0.0
2021,245592,300.0,150.0,0.5
2021,245753,540.0,90.0,0.16666666666666666
2021,245755,1512.0,420.0,0.2777777777777778
2021,246271,3200.0,1300.0,0.40625
2021,247043,2592.0,0.0,0.0
2021,247182,6804.0,0.0,0.0
2021,500089,163.0,163.0,1.0
2021,510762,2904.0,1992.0,0.6859504132231405
2021,510824,1695.0,1722.0,1.015929203539823
2021,510825,588.0,1226.0,2.0850340136054424
2021,510936,402.0,171.0,0.4253731343283582
2021,512025,8.0,0.0,0.0
2021,512027,4006.0,3769.0,0.9408387418871692
2021,512620,3474.0,1606.0,0.46229130685089237
2021,512749,750.0,1302.0,1.736
2021,512794,120.0,0.0,0.0
2021,513049,640.0,2829.0,4.4203125
2021,513061,345.0,515.0,1.4927536231884058
2021,513574,195.0,390.0,2.0
2021,513601,345.0,1054.0,3.055072463768116
2021,513622,171.0,238.0,1.391812865497076
2021,517410,16000.0,0.0,0.0
2021,517411,3500.0,3500.0,1.0
2021,517412,6500.0,1650.0,0.25384615384615383
2021,517414,4725.0,1125.0,0.23809523809523808
2021,517415,1200.0,450.0,0.375
2021,517418,8100.0,16200.0,2.0
2021,517419,12100.0,16500.0,1.3636363636363635
2021,517429,745.0,1200.0,1.610738255033557
2021,517431,400.0,0.0,0.0
2021,52-105-175-003,2697.0,44.0,0.016314423433444566
2021,52-115-223-001,5.0,25.0,5.0
2021,52-116-916-501,12.0,0.0,0.0
2021,52-116-917-501,76.0,40.0,0.5263157894736842
2021,52-116-917-520,40.0,12.0,0.3
2021,52-116-917-523,169.0,72.0,0.4260355029585799
2021,52-116-918-501,185.0,122.0,0.6594594594594595
2021,52-116-918-521,8.0,8.0,1.0
2021,52-116-920-501,116.0,157.0,1.353448275862069
2021,52-116-921-501,30.0,34.0,1.1333333333333333
2021,52-116-922-501,290.0,161.0,0.5551724137931034
2021,52-116-923-501,74.0,38.0,0.5135135135135135
2021,52-116-923-520,4.0,2.0,0.5
2021,52-116-924-501,183.0,237.0,1.2950819672131149
2021,52-116-926-501,31.0,37.0,1.1935483870967742
2021,52-116-968-501,88.0,24.0,0.2727272727272727
2021,52-118-401-501,176.0,80.0,0.45454545454545453
2021,52-120-475-400,32.0,4.0,0.125
2021,52-123-957-501,70.0,80.0,1.1428571428571428
2021,52-123-957-522,18.0,16.0,0.8888888888888888
2021,52-126-533-001,5.0,5.0,1.0
2021,52-127-084-007,16.0,0.0,0.0
2021,52-127-084-009,30.0,3.0,0.1
2021,52-127-508-001,54.0,1.0,0.018518518518518517
2021,52-128-321-501,286.0,143.0,0.5
2021,52-128-321-520,8.0,0.0,0.0
2021,52-128-321-521,38.0,16.0,0.42105263157894735
2021,52-128-803-501,5.0,1.0,0.2
2021,52-129-440-501,122.0,42.0,0.3442622950819672
2021,52-129-440-520,4.0,0.0,0.0
2021,52-129-440-521,14.0,0.0,0.0
2021,52-129-475-501,13.0,6.0,0.46153846153846156
2021,52-161-304-001,2.0,0.0,0.0
2021,52-229-646-001,42.0,52.0,1.2380952380952381
2021,52-229-647-001,42.0,62.0,1.4761904761904763
2021,52-235-608-001,32.0,0.0,0.0
2021,52-239-343-001,28.0,35.0,1.25
