item_number,total_overstock_net,latest_inventory,reduction_percentage
P6013350,20.0,16.0,125.0
P6013424,-1.0,26.0,-3.8461538461538463
P6013433,-4.0,2.0,-200.0
P6013444,0.0,10.0,0.0
P6013448,-10.0,3.0,-333.33333333333337
P6013452,-4.0,32.0,-12.5
P6013453,0.0,11.0,0.0
P6013456,-6.0,28.0,-21.428571428571427
P6013457,0.0,5.0,0.0
P6013466,-5.0,19.0,-26.31578947368421
P6013480,-1.0,4.0,-25.0
P6013488,-5.0,-3.0,166.66666666666669
P6013519,0.0,0.0,
P6013658,-4.0,-24.0,16.666666666666664
P6014717,-154.0,-11.0,1400.0
P6014851,11.0,9.0,122.22222222222223
P6014857,-12.0,42.0,-28.57142857142857
P6014863,-19.0,2.0,-950.0
P6014869,3.0,12.0,25.0
P6014872,-10.0,0.0,-inf
P6014876,-3.0,13.0,-23.076923076923077
P6014902,-36.0,-20.0,180.0
P6014909,-4.0,20.0,-20.0
P6014923,38.0,118.0,32.20338983050847
P6014929,-20.0,121.0,-16.528925619834713
P6014932,-23.0,32.0,-71.875
P6014933,0.0,0.0,
P6014938,-48.0,-50.0,96.0
P6014939,-65.0,36.0,-180.55555555555557
P6014940,-50.0,0.0,-inf
P6014946,-10.0,87.0,-11.494252873563218
P6014971,15.0,15.0,100.0
P6014973,-62.0,79.0,-78.48101265822784
P6014989,-8.0,13.0,-61.53846153846154
P6015007,-4.0,-2.0,200.0
P6015014,0.0,0.0,
P6015043,-2.0,-2.0,100.0
P6015045,-4.0,-6.0,66.66666666666666
P6015047,-2.0,-7.0,28.57142857142857
P6015049,-8.0,-4.0,200.0
P6015051,0.0,-1.0,-0.0
P6015055,-2.0,-8.0,25.0
P6015057,0.0,0.0,
P6015059,-16.0,-2.0,800.0
P6015065,0.0,0.0,
P6015067,-8.0,-2.0,400.0
P6015073,0.0,0.0,
P6015077,-3.0,-4.0,75.0
P6015079,0.0,0.0,
P6015081,0.0,0.0,
P6015114,-3.0,0.0,-inf
