antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'P85288'}),"frozenset({'P85286', 'P85289'})",0.02949402491736588,0.022374777523518942,0.011060259344012205,0.37500000000000006,16.759943181818183,0.01040033709821302,1.5642003559623698,0.9689110121386779
"frozenset({'P85290', 'P85286'})",frozenset({'P85288'}),0.021739130434782608,0.02949402491736588,0.010297482837528604,0.4736842105263158,16.060344827586206,0.009656308382803258,1.843961352657005,0.9585733882030177
"frozenset({'P85290', 'P85288'})",frozenset({'P85286'}),0.013348588863463006,0.04678362573099415,0.010297482837528604,0.7714285714285714,16.489285714285714,0.009672987452103434,4.170321637426899,0.9520632602709654
"frozenset({'P85286', 'P85288'})",frozenset({'P85290'}),0.017289600813628275,0.039410119501652685,0.010297482837528604,0.5955882352941176,15.112571157495255,0.009616097603327642,2.375276795414095,0.9502595307683707
frozenset({'P85290'}),"frozenset({'P85286', 'P85288'})",0.039410119501652685,0.017289600813628275,0.010297482837528604,0.26129032258064516,15.112571157495255,0.009616097603327642,1.3303066539204158,0.9721421615721951
frozenset({'P85286'}),"frozenset({'P85290', 'P85288'})",0.04678362573099415,0.013348588863463006,0.010297482837528604,0.22010869565217392,16.489285714285714,0.009672987452103434,1.2651140045235039,0.9854578504885253
frozenset({'P85288'}),"frozenset({'P85290', 'P85286'})",0.02949402491736588,0.021739130434782608,0.010297482837528604,0.34913793103448276,16.060344827586206,0.009656308382803258,1.5030233227756982,0.9662329345326464
"frozenset({'P85290', 'P85286'})",frozenset({'P85289'}),0.021739130434782608,0.04093567251461988,0.01474701245868294,0.6783625730994152,16.571428571428573,0.013857106534452072,2.9818181818181815,0.960536398467433
"frozenset({'P85290', 'P85289'})",frozenset({'P85286'}),0.020594965675057208,0.04678362573099415,0.01474701245868294,0.7160493827160493,15.305555555555555,0.013783505292598391,3.3569794050343247,0.9543184015468902
"frozenset({'P85286', 'P85289'})",frozenset({'P85290'}),0.022374777523518942,0.039410119501652685,0.01474701245868294,0.6590909090909091,16.72390029325513,0.013865219802658165,2.8177303161284852,0.9617236895206492
frozenset({'P85290'}),"frozenset({'P85286', 'P85289'})",0.039410119501652685,0.022374777523518942,0.01474701245868294,0.37419354838709673,16.72390029325513,0.013865219802658165,1.5621846338541707,0.9787791387524872
frozenset({'P85286'}),"frozenset({'P85290', 'P85289'})",0.04678362573099415,0.020594965675057208,0.01474701245868294,0.31521739130434784,15.305555555555557,0.013783505292598391,1.4302422723475356,0.9805373386926169
frozenset({'P85289'}),"frozenset({'P85290', 'P85286'})",0.04093567251461988,0.021739130434782608,0.01474701245868294,0.36024844720496896,16.571428571428573,0.013857106534452072,1.529126213592233,0.9797624053826746
"frozenset({'P85289', 'P85288'})",frozenset({'P85287'}),0.015255530129672006,0.048944825832697686,0.011695906432748537,0.7666666666666666,15.663896103896104,0.010949227167566269,4.075950746431294,0.9506617721348465
"frozenset({'P85288', 'P85287'})",frozenset({'P85289'}),0.018560894991100942,0.04093567251461988,0.011695906432748537,0.6301369863013698,15.393346379647749,0.010936103713814581,2.5930257743123235,0.952720207253886
"frozenset({'P85289', 'P85287'})",frozenset({'P85288'}),0.023773201118738877,0.02949402491736588,0.011695906432748537,0.4919786096256684,16.680619583256497,0.010994739046586903,1.9103643930573955,0.9629424121120844
frozenset({'P85288'}),"frozenset({'P85289', 'P85287'})",0.02949402491736588,0.023773201118738877,0.011695906432748537,0.396551724137931,16.680619583256497,0.010994739046586903,1.6177472667175183,0.9686186511145789
frozenset({'P85289'}),"frozenset({'P85288', 'P85287'})",0.04093567251461988,0.018560894991100942,0.011695906432748537,0.2857142857142857,15.393346379647747,0.010936103713814581,1.3740147470124586,0.974946977730647
frozenset({'P85287'}),"frozenset({'P85289', 'P85288'})",0.048944825832697686,0.015255530129672006,0.011695906432748537,0.23896103896103896,15.663896103896104,0.010949227167566269,1.293947511604356,0.9843371323294374
"frozenset({'P85290', 'P85289'})",frozenset({'P85287'}),0.020594965675057208,0.048944825832697686,0.015764047800661072,0.7654320987654321,15.638672438672439,0.01475603079266501,4.054498374081657,0.955739372927344
"frozenset({'P85290', 'P85287'})",frozenset({'P85289'}),0.023137554030002543,0.04093567251461988,0.015764047800661072,0.6813186813186812,16.6436420722135,0.014816896466099565,3.009477717281709,0.9621794764151735
"frozenset({'P85289', 'P85287'})",frozenset({'P85290'}),0.023773201118738877,0.039410119501652685,0.015764047800661072,0.6631016042780749,16.82566844919786,0.01482714310363475,2.851274724653824,0.9634718062247688
frozenset({'P85290'}),"frozenset({'P85289', 'P85287'})",0.039410119501652685,0.023773201118738877,0.015764047800661072,0.39999999999999997,16.82566844919786,0.01482714310363475,1.6270446648021015,0.9791556379036528
