item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104321,2021-12-31 00:00:00,172.0,2021,2021-12-31 00:00:00,257.0,1.494186046511628,
104321,2022-12-31 00:00:00,306.0,2022,2022-12-31 00:00:00,188.0,0.6143790849673203,1.494186046511628
104321,2023-12-31 00:00:00,55.0,2023,2023-12-31 00:00:00,140.0,2.5454545454545454,0.6143790849673203
104323,2021-12-31 00:00:00,49.0,2021,2021-12-31 00:00:00,70.0,1.4285714285714286,
104323,2022-12-31 00:00:00,168.0,2022,2022-12-31 00:00:00,128.0,0.7619047619047619,1.4285714285714286
104323,2023-12-31 00:00:00,43.0,2023,2023-12-31 00:00:00,46.0,1.069767441860465,0.7619047619047619
104326,2021-12-31 00:00:00,168.0,2021,2021-12-31 00:00:00,154.0,0.9166666666666666,
104326,2022-12-31 00:00:00,134.0,2022,2022-12-31 00:00:00,141.0,1.0522388059701493,0.9166666666666666
104326,2023-12-31 00:00:00,62.0,2023,2023-12-31 00:00:00,107.0,1.7258064516129032,1.0522388059701493
104328,2021-12-31 00:00:00,132.0,2021,2021-12-31 00:00:00,170.0,1.2878787878787878,
104328,2022-12-31 00:00:00,167.0,2022,2022-12-31 00:00:00,149.0,0.8922155688622755,1.2878787878787878
104328,2023-12-31 00:00:00,61.0,2023,2023-12-31 00:00:00,105.0,1.721311475409836,0.8922155688622755
104450LF,2021-12-31 00:00:00,739.0,2021,2021-12-31 00:00:00,939.0,1.27063599458728,
104450LF,2022-12-31 00:00:00,970.0,2022,2022-12-31 00:00:00,764.0,0.7876288659793814,1.27063599458728
104450LF,2023-12-31 00:00:00,332.0,2023,2023-12-31 00:00:00,482.0,1.4518072289156627,0.7876288659793814
104451LF,2021-12-31 00:00:00,804.0,2021,2021-12-31 00:00:00,1051.0,1.3072139303482586,
104451LF,2022-12-31 00:00:00,888.0,2022,2022-12-31 00:00:00,742.0,0.8355855855855856,1.3072139303482586
104451LF,2023-12-31 00:00:00,453.0,2023,2023-12-31 00:00:00,421.0,0.9293598233995585,0.8355855855855856
104452LF,2021-12-31 00:00:00,66.0,2021,2021-12-31 00:00:00,84.0,1.2727272727272727,
104452LF,2022-12-31 00:00:00,192.0,2022,2022-12-31 00:00:00,132.0,0.6875,1.2727272727272727
104452LF,2023-12-31 00:00:00,36.0,2023,2023-12-31 00:00:00,84.0,2.3333333333333335,0.6875
104453LF,2021-12-31 00:00:00,65.0,2021,2021-12-31 00:00:00,95.0,1.4615384615384615,
104453LF,2022-12-31 00:00:00,82.0,2022,2022-12-31 00:00:00,33.0,0.4024390243902439,1.4615384615384615
104454LF,2023-12-31 00:00:00,45.0,2023,2023-12-31 00:00:00,27.0,0.6,
104456LF,2021-12-31 00:00:00,391.0,2021,2021-12-31 00:00:00,490.0,1.2531969309462916,
104456LF,2022-12-31 00:00:00,875.0,2022,2022-12-31 00:00:00,725.0,0.8285714285714286,1.2531969309462916
104456LF,2023-12-31 00:00:00,343.0,2023,2023-12-31 00:00:00,432.0,1.2594752186588922,0.8285714285714286
104458LF,2021-12-31 00:00:00,5.0,2021,2021-12-31 00:00:00,3.0,0.6,
104458LF,2022-12-31 00:00:00,29.0,2022,2022-12-31 00:00:00,38.0,1.3103448275862069,0.6
104458LF,2023-12-31 00:00:00,49.0,2023,2023-12-31 00:00:00,49.0,1.0,1.3103448275862069
104459LF,2021-12-31 00:00:00,128.0,2021,2021-12-31 00:00:00,216.0,1.6875,
104459LF,2022-12-31 00:00:00,233.0,2022,2022-12-31 00:00:00,175.0,0.7510729613733905,1.6875
104459LF,2023-12-31 00:00:00,60.0,2023,2023-12-31 00:00:00,124.0,2.066666666666667,0.7510729613733905
104460LF,2021-12-31 00:00:00,78.0,2021,2021-12-31 00:00:00,123.0,1.5769230769230769,
104460LF,2022-12-31 00:00:00,114.0,2022,2022-12-31 00:00:00,81.0,0.7105263157894737,1.5769230769230769
104460LF,2023-12-31 00:00:00,24.0,2023,2023-12-31 00:00:00,68.0,2.8333333333333335,0.7105263157894737
104462LF,2021-12-31 00:00:00,14.0,2021,2021-12-31 00:00:00,33.0,2.357142857142857,
104462LF,2022-12-31 00:00:00,26.0,2022,2022-12-31 00:00:00,20.0,0.7692307692307693,2.357142857142857
104462LF,2023-12-31 00:00:00,6.0,2023,2023-12-31 00:00:00,8.0,1.3333333333333333,0.7692307692307693
104463LF,2021-12-31 00:00:00,11.0,2021,2021-12-31 00:00:00,17.0,1.5454545454545454,
104463LF,2022-12-31 00:00:00,22.0,2022,2022-12-31 00:00:00,18.0,0.8181818181818182,1.5454545454545454
104463LF,2023-12-31 00:00:00,6.0,2023,2023-12-31 00:00:00,6.0,1.0,0.8181818181818182
104465LF,2021-12-31 00:00:00,70.0,2021,2021-12-31 00:00:00,111.0,1.5857142857142856,
104465LF,2022-12-31 00:00:00,98.0,2022,2022-12-31 00:00:00,75.0,0.7653061224489796,1.5857142857142856
104465LF,2023-12-31 00:00:00,70.0,2023,2023-12-31 00:00:00,87.0,1.2428571428571429,0.7653061224489796
104468LF,2021-12-31 00:00:00,9.0,2021,2021-12-31 00:00:00,23.0,2.5555555555555554,
104468LF,2022-12-31 00:00:00,28.0,2022,2022-12-31 00:00:00,29.0,1.0357142857142858,2.5555555555555554
104468LF,2023-12-31 00:00:00,24.0,2023,2023-12-31 00:00:00,14.0,0.5833333333333334,1.0357142857142858
104471LF,2021-12-31 00:00:00,43.0,2021,2021-12-31 00:00:00,60.0,1.3953488372093024,
104471LF,2022-12-31 00:00:00,180.0,2022,2022-12-31 00:00:00,103.0,0.5722222222222222,1.3953488372093024
104471LF,2023-12-31 00:00:00,21.0,2023,2023-12-31 00:00:00,72.0,3.4285714285714284,0.5722222222222222
104473LF,2022-12-31 00:00:00,1.0,2022,0,0.0,0.0,
104473LF,2023-12-31 00:00:00,4.0,2023,2023-12-31 00:00:00,5.0,1.25,0.0
104476LF,2021-12-31 00:00:00,45.0,2021,2021-12-31 00:00:00,55.0,1.2222222222222223,
104476LF,2022-12-31 00:00:00,85.0,2022,2022-12-31 00:00:00,51.0,0.6,1.2222222222222223
104476LF,2023-12-31 00:00:00,36.0,2023,2023-12-31 00:00:00,46.0,1.2777777777777777,0.6
104478LF,2021-12-31 00:00:00,11.0,2021,2021-12-31 00:00:00,10.0,0.9090909090909091,
104478LF,2022-12-31 00:00:00,25.0,2022,2022-12-31 00:00:00,21.0,0.84,0.9090909090909091
104478LF,2023-12-31 00:00:00,36.0,2023,2023-12-31 00:00:00,21.0,0.5833333333333334,0.84
104500,2022-12-31 00:00:00,409.0,2022,2022-12-31 00:00:00,20.0,0.0488997555012225,
104501,2021-12-31 00:00:00,136.0,2021,2021-12-31 00:00:00,126.0,0.9264705882352942,
104501,2022-12-31 00:00:00,42.0,2022,2022-12-31 00:00:00,64.0,1.5238095238095237,0.9264705882352942
104501,2023-12-31 00:00:00,19.0,2023,2023-12-31 00:00:00,42.0,2.210526315789474,1.5238095238095237
104502,2021-12-31 00:00:00,75.0,2021,2021-12-31 00:00:00,139.0,1.8533333333333333,
104502,2022-12-31 00:00:00,425.0,2022,2022-12-31 00:00:00,475.0,1.1176470588235294,1.8533333333333333
104502,2023-12-31 00:00:00,275.0,2023,2023-12-31 00:00:00,225.0,0.8181818181818182,1.1176470588235294
104503,2023-12-31 00:00:00,5.0,2023,2023-12-31 00:00:00,5.0,1.0,
104504,2023-12-31 00:00:00,2.0,2023,2023-12-31 00:00:00,2.0,1.0,
104600,2021-12-31 00:00:00,12.0,2021,2021-12-31 00:00:00,6.0,0.5,
104600,2022-12-31 00:00:00,1.0,2022,2022-12-31 00:00:00,6.0,6.0,0.5
104602,2021-12-31 00:00:00,5.0,2021,2021-12-31 00:00:00,6.0,1.2,
104603,2021-12-31 00:00:00,20.0,2021,2021-12-31 00:00:00,25.0,1.25,
104603,2022-12-31 00:00:00,14.0,2022,2022-12-31 00:00:00,5.0,0.35714285714285715,1.25
