year,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,179356,19.0,-2.2857142857142856,-8.3125
2021,179359,56.0,-4.071428571428571,-13.75438596491228
2021,179361,54.0,-1.1428571428571428,-47.25
2021,179363,41.0,-2.0,-20.5
2021,179365,0.0,1.0,0.0
2021,179367,24.0,-1.3,-18.46153846153846
2021,180156,0.0,0.5,0.0
2021,180164,2.0,1.0,2.0
2021,180228,0.0,0.5,0.0
2021,180254,0.0,2.5,0.0
2021,180674,0.0,0.5,0.0
2021,180679,1.0,0.5,2.0
2021,180687,0.0,0.5,0.0
2021,180697,0.0,2.5,0.0
2021,180710,2.0,1.0,2.0
2021,180781,3.0,1.25,2.4
2021,180837,1.0,0.5,2.0
2021,181827,2.0,-1.0,-2.0
2021,181876,13.0,3.3,3.9393939393939394
2021,181885,6.0,-0.875,-6.857142857142857
2021,181891,28.0,0.8,35.0
2021,181897,2.0,0.25,8.0
2021,181909,0.0,1.0,0.0
2021,181915,0.0,1.5,0.0
2021,182190,1.0,0.0,inf
2021,182192,1.0,1.25,0.8
2021,182196,35.0,-3.142857142857143,-11.136363636363637
2021,182198,41.0,-6.071428571428571,-6.752941176470588
2021,182205,32.0,-2.5625,-12.487804878048781
2021,182211,28.0,-3.0833333333333335,-9.08108108108108
2021,182216,1.0,0.5,2.0
2021,182220,0.0,1.0,0.0
2021,182222,0.0,2.0,0.0
2021,182226,1.0,0.5,2.0
2021,182257,2.0,1.0,2.0
2021,182543,1.0,-0.5,-2.0
2021,183040,1.0,-0.5,-2.0
2021,183299,0.0,2.0,0.0
2021,183515,2.0,0.0,inf
2021,183517,9.0,2.8333333333333335,3.176470588235294
2021,183532,0.0,1.0,0.0
2021,183563,1.0,0.5,2.0
2021,183577,0.0,0.5,0.0
2021,183798,0.0,0.5,0.0
2021,184001,0.0,1.0,0.0
2021,184009,2.0,0.25,8.0
2021,184065,4.0,0.5,8.0
2021,184105,0.0,1.5,0.0
2021,184342,0.0,1.0,0.0
2021,184429,0.0,1.0,0.0
2021,184441,0.0,0.5,0.0
2021,184464,0.0,4.75,0.0
2021,184478,0.0,1.0,0.0
2021,184480,0.0,1.0,0.0
2021,184743,3.0,1.5,2.0
2021,184752,0.0,0.5,0.0
2021,185022,715.0,264.5833333333333,2.70236220472441
2021,185025,5616.0,1854.0,3.029126213592233
2021,185108,168.0,-6.785714285714286,-24.757894736842104
2021,185109,88.0,-2.0,-44.0
2021,185110,112.0,-6.5,-17.23076923076923
2021,185111,144.0,-1.75,-82.28571428571429
2021,185112,100.0,-10.642857142857142,-9.395973154362416
2021,185113,43.0,5.428571428571429,7.921052631578947
2021,185114,90.0,-9.0,-10.0
2021,185115,76.0,2.1666666666666665,35.07692307692308
2021,185116,73.0,-12.0,-6.083333333333333
2021,185117,16.0,4.333333333333333,3.6923076923076925
2021,185118,24.0,12.8,1.875
2021,185119,35.0,-2.5833333333333335,-13.548387096774192
2021,185141,3624.0,1026.857142857143,3.5292153589315527
2021,185143,1372.0,468.25,2.9300587293112654
2021,187202,648.0,150.9375,4.293167701863354
2021,188418,28.0,1.1666666666666667,24.0
2021,188425,2.0,-1.0,-2.0
2021,188426,1.0,1.25,0.8
2021,188428,1.0,-0.5,-2.0
2021,188431,0.0,2.0,0.0
2021,188432,0.0,0.5,0.0
2021,188433,0.0,1.0,0.0
2021,188553,2.0,1.0,2.0
2021,188554,23.0,-3.6666666666666665,-6.272727272727273
2021,188555,13.0,-2.3333333333333335,-5.571428571428571
2021,188556,13.0,-0.3,-43.333333333333336
2021,188557,16.0,0.6,26.666666666666668
2021,188559,9.0,-1.75,-5.142857142857143
2021,188562,3.0,1.5,2.0
2021,188563,0.0,0.5,0.0
2021,188701,57.0,-9.071428571428571,-6.283464566929134
2021,188702,29.0,-3.0,-9.666666666666666
2021,188703,86.0,-10.5,-8.19047619047619
2021,188709,1.0,0.5,2.0
2021,203455,45.0,-22.5,-2.0
2021,204835,0.0,1.0,0.0
2021,205045,0.0,1.0,0.0
2021,205360,0.0,66.0,0.0
2021,205845,0.0,11.0,0.0
2021,209084,200.0,-100.0,-2.0
2021,209085,0.0,434.5,0.0
2021,209089,340.0,-170.0,-2.0
2021,209091,307.0,-176.75,-1.736916548797737
2021,209096,0.0,282.5,0.0
2021,209101,6.0,-3.0,-2.0
2021,210195,1506.0,-149.07142857142858,-10.102539530426448
2021,210196,1921.0,-1188.9166666666667,-1.6157566411999718
2021,210321,0.0,2000.0,0.0
2021,210590,80.0,154.0,0.5194805194805194
2021,210618,7292.0,2559.909090909091,2.8485386554920273
2021,210619,4980.0,5013.333333333333,0.9933510638297873
2021,210623,100.0,-50.0,-2.0
2021,210649,0.0,1679.0,0.0
2021,212980,287.0,-171.75,-1.6710334788937409
2021,214205,400.0,-200.0,-2.0
2021,216790,5660.0,2827.777777777778,2.001571709233792
2021,2168553,0.0,12.5,0.0
2021,226220,34.0,30.833333333333332,1.1027027027027028
2021,226240,969.0,-170.83333333333334,-5.672195121951219
2021,226260,203.0,48.0,4.229166666666667
2021,226280,770.0,-32.142857142857146,-23.955555555555552
2021,226700,14.0,39.333333333333336,0.3559322033898305
2021,226720,918.0,202.5,4.533333333333333
2021,226740,686.0,-4.5,-152.44444444444446
2021,227000,120.0,-7.625,-15.737704918032787
2021,227040,92.0,1.1666666666666667,78.85714285714285
2021,228680,655.0,-152.5,-4.295081967213115
2021,228700,3332.0,-146.14285714285714,-22.79960899315738
2021,229940,7.0,-4.166666666666667,-1.68
2021,230080,1656.0,-254.4,-6.509433962264151
2021,230120,1210.0,-34.8,-34.770114942528735
2021,230180,1954.0,-312.2857142857143,-6.2570905763952425
2021,230440,0.0,675.0,0.0
2021,230800,309.0,-3.357142857142857,-92.04255319148936
2021,231440,235.0,-160.25,-1.466458658346334
2021,231560,3100.0,-628.6428571428571,-4.931257811612317
2021,231610,30.0,9.666666666666666,3.103448275862069
2021,231820,2088.0,1440.0,1.45
2021,231900,3459.0,-310.1875,-11.151319766270401
2021,231940,1226.0,258.5,4.74274661508704
2021,233380,3195.0,-1096.0714285714287,-2.914956011730205
2021,233560,0.0,2000.0,0.0
2021,235061,1767.0,-10.214285714285714,-172.99300699300701
2021,235080,1024.0,8.142857142857142,125.75438596491229
2021,235400,322.0,-42.42857142857143,-7.589225589225589
2021,235861,144.0,1155.0,0.12467532467532468
2021,235941,5100.0,-672.8571428571429,-7.579617834394904
2021,236761,2992.0,989.0,3.025278058645096
2021,238020,446.0,-2.2142857142857144,-201.41935483870967
2021,238030,2.0,0.5,4.0
2021,238040,450.0,313.7,1.4344915524386357
2021,238460,122.0,-60.666666666666664,-2.010989010989011
2021,238480,600.0,150.0,4.0
2021,239600,3864.0,-588.0,-6.571428571428571
2021,241160,1146.0,-4.785714285714286,-239.46268656716418
2021,245005,1012.0,684.5,1.4784514243973703
2021,245105,646.0,-162.07142857142858,-3.9858968708682236
2021,245122,2920.0,1381.25,2.114027149321267
2021,245123,371.0,-44.0,-8.431818181818182
2021,245142,527.0,147.83333333333334,3.564825253664036
2021,245403,0.0,284.0,0.0
2021,245404,0.0,162.0,0.0
2021,245592,150.0,175.0,0.8571428571428571
2021,245753,90.0,67.5,1.3333333333333333
2021,245755,420.0,781.2,0.5376344086021505
2021,246271,1300.0,1262.5,1.0297029702970297
2021,246566,0.0,17.0,0.0
2021,247043,0.0,1296.0,0.0
2021,247182,0.0,3402.0,0.0
2021,264957,0.0,220.0,0.0
2021,265599,0.0,300.0,0.0
2021,500089,163.0,81.5,2.0
2021,500183,1.0,-0.5,-2.0
2021,500267,0.0,18.0,0.0
2021,500270,0.0,35.0,0.0
2021,500342,20.0,-10.0,-2.0
2021,501065,25.0,-12.5,-2.0
2021,501068,140.0,-70.0,-2.0
2021,509101,833.0,-573.125,-1.4534351145038167
2021,509132,56.0,-28.0,-2.0
2021,510713,3340.0,-1670.0,-2.0
2021,510744,58.0,-29.0,-2.0
2021,510762,1992.0,648.0,3.074074074074074
2021,510824,1722.0,-21.928571428571427,-78.52768729641694
2021,510825,1226.0,-218.25,-5.617411225658648
2021,510936,171.0,-48.3125,-3.539456662354463
2021,512025,0.0,4.0,0.0
2021,512027,3769.0,354.5,10.631875881523273
2021,512620,1606.0,345.0,4.655072463768116
2021,512740,283.0,-197.25,-1.4347275031685678
2021,512749,1302.0,-326.625,-3.986222732491389
2021,512794,0.0,50.0,0.0
2021,513049,2829.0,-1433.7857142857142,-1.9730981916006576
2021,513061,515.0,-173.28571428571428,-2.9719703215169004
2021,513574,390.0,48.75,8.0
2021,513601,1054.0,-369.59090909090907,-2.8518017464026566
2021,513622,238.0,-1.3125,-181.33333333333334
2021,517410,0.0,8000.0,0.0
2021,517411,3500.0,1750.0,2.0
2021,517412,1650.0,4462.5,0.3697478991596639
2021,517414,1125.0,3262.5,0.3448275862068966
2021,517415,450.0,787.5,0.5714285714285714
2021,517418,16200.0,2025.0,8.0
2021,517419,16500.0,4400.0,3.75
2021,517429,1200.0,220.83333333333334,5.433962264150943
2021,517431,0.0,200.0,0.0
2021,52-105-175-001,0.0,393.0,0.0
2021,52-105-175-003,44.0,1261.75,0.03487220130770755
2021,52-105-175-010,5.0,-3.25,-1.5384615384615385
2021,52-115-223-001,25.0,-7.166666666666667,-3.488372093023256
2021,52-116-916-501,0.0,6.0,0.0
2021,52-116-917-501,40.0,4.9,8.16326530612245
2021,52-116-917-520,12.0,16.0,0.75
2021,52-116-917-523,72.0,31.5,2.2857142857142856
2021,52-116-918-501,122.0,16.227272727272727,7.518207282913165
2021,52-116-918-521,8.0,4.0,2.0
2021,52-116-920-501,157.0,-39.04545454545455,-4.0209545983701975
2021,52-116-921-501,34.0,-1.2857142857142858,-26.444444444444443
2021,52-116-922-501,161.0,38.04545454545455,4.231780167264038
2021,52-116-923-501,38.0,7.3,5.205479452054795
2021,52-116-923-520,2.0,1.5,1.3333333333333333
2021,52-116-924-501,237.0,-34.0,-6.970588235294118
2021,52-116-926-501,37.0,-0.5833333333333334,-63.42857142857142
2021,52-116-968-501,24.0,33.5,0.7164179104477612
2021,52-118-401-501,80.0,40.55555555555556,1.9726027397260273
2021,52-118-498-001,0.0,0.5,0.0
2021,52-120-475-400,4.0,25.0,0.16
2021,52-121-844-001,0.0,1.0,0.0
2021,52-123-957-501,80.0,-6.9,-11.594202898550725
2021,52-123-957-522,16.0,5.909090909090909,2.707692307692308
2021,52-126-532-003,2.0,-1.0,-2.0
2021,52-126-533-001,5.0,0.0,inf
2021,52-126-808-001,0.0,1.0,0.0
2021,52-127-084-007,0.0,8.0,0.0
2021,52-127-084-009,3.0,23.833333333333332,0.1258741258741259
2021,52-127-508-001,1.0,40.25,0.024844720496894408
2021,52-127-860-501,0.0,2.5,0.0
2021,52-128-321-501,143.0,70.04545454545455,2.0415314730694356
2021,52-128-321-520,0.0,4.666666666666667,0.0
2021,52-128-321-521,16.0,12.625,1.2673267326732673
2021,52-128-803-501,1.0,3.5,0.2857142857142857
2021,52-129-440-501,42.0,29.454545454545453,1.425925925925926
2021,52-129-440-520,0.0,2.0,0.0
2021,52-129-440-521,0.0,6.75,0.0
2021,52-129-475-501,6.0,4.5,1.3333333333333333
2021,52-161-304-001,0.0,1.0,0.0
2021,52-219-923-373,6.0,-3.0,-2.0
2021,52-225-762-325,0.0,1.0,0.0
2021,52-229-560-502,0.0,1.0,0.0
2021,52-229-646-001,52.0,0.5,104.0
2021,52-229-647-001,62.0,-9.0,-6.888888888888889
2021,52-229-736-501,4.0,-2.0,-2.0
2021,52-231-707-002,2.0,-1.0,-2.0
2021,52-233-501-001,0.0,10.75,0.0
2021,52-235-608-001,0.0,16.0,0.0
2021,52-239-343-001,35.0,5.25,6.666666666666667
2021,52-239-344-001,10.0,22.4,0.44642857142857145
2021,52-239-345-001,95.0,23.5,4.042553191489362
2021,52-239-345-003,0.0,3.5,0.0
2021,52-239-347-001,0.0,22.5,0.0
2021,52-239-347-003,0.0,2.5,0.0
2021,52-239-351-002,0.0,5.0,0.0
2021,52-239-444-001,0.0,14.5,0.0
2021,52-239-532-001,0.0,2.5,0.0
2021,52-239-532-501,4.0,-2.0,-2.0
2021,52-239-562-001,255.0,-112.0625,-2.275515895147797
2021,52-239-563-001,136.0,-31.05,-4.3800322061191626
2021,52-239-566-001,282.0,-20.25,-13.925925925925926
2021,52-239-567-001,108.0,118.75,0.9094736842105263
2021,52-239-570-001,10.0,67.0,0.14925373134328357
2021,52-239-571-001,276.0,159.92857142857142,1.7257704332291204
2021,52-239-611-001,14.0,19.666666666666668,0.711864406779661
2021,52-260-376-003,3.0,0.0,inf
2021,52-260-537-001,112.0,-47.0,-2.382978723404255
2021,52-260-537-002,10.0,-5.5,-1.8181818181818181
2021,52-261-022-001,8.0,2.5833333333333335,3.096774193548387
2021,52-261-026-001,1.0,0.5,2.0
2021,52-261-521-001,56.0,37.666666666666664,1.4867256637168142
2021,52-261-582-001,124.0,99.66666666666667,1.2441471571906353
2021,52-261-625-001,59.0,-27.7,-2.1299638989169676
2021,52-261-625-002,60.0,1.0,60.0
2021,52-322-941-001,18.0,3.6666666666666665,4.909090909090909
2021,52-323-163-003,0.0,0.5,0.0
2021,52-324-006-039,0.0,2.5,0.0
2021,52-324-006-041,2.0,10.75,0.18604651162790697
2021,52-324-006-075,10.0,27.166666666666668,0.36809815950920244
2021,52-324-006-084,1.0,4.5,0.2222222222222222
2021,52-324-006-087,10.0,5.0,2.0
2021,52-324-006-091,9.0,-2.8333333333333335,-3.176470588235294
2021,52-324-007-101,0.0,1.0,0.0
2021,52-324-015-040,0.0,5.5,0.0
2021,52-324-015-084,0.0,6.333333333333333,0.0
2021,52-324-015-090,0.0,0.5,0.0
2021,52-324-015-092,4.0,1.0,4.0
2021,52-324-015-136,0.0,1.6666666666666667,0.0
2021,52-324-015-142,0.0,0.5,0.0
2021,52-327-220-007,1.0,0.0,inf
2021,52-327-355-002,0.0,1.75,0.0
2021,52-327-901-001,1.0,-0.5,-2.0
2021,52-360-234-001,5.0,-1.75,-2.857142857142857
2021,52-360-905-001,24.0,8.857142857142858,2.7096774193548385
2021,52-361-106-001,6.0,15.75,0.38095238095238093
2021,52-362-268-001,66.0,-33.0,-2.0
2021,52-362-269-001,239.0,-72.61111111111111,-3.29150726855394
2021,52-362-271-001,203.0,-106.9,-1.8989710009354537
2021,52-362-273-501,2.0,-1.0,-2.0
2021,52-362-317-001,21.0,-9.8,-2.142857142857143
2021,52-362-318-001,42.0,-17.833333333333332,-2.355140186915888
2021,52-362-322-001,126.0,-49.2,-2.5609756097560976
2021,52-362-329-001,183.0,-67.35714285714286,-2.7168610816542946
2021,52-362-332-001,124.0,-46.18181818181818,-2.6850393700787403
